model,id,novel,n_tok,s_rate,k_crit,binding_token,binding_frac,ratio_skip0,ratio_skip1,ratio_skip5,ratio_skip10,ratio_skip20
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.47,the_hunger_games,77,2.3157000801474608,2.823876346860613,6,0.07792207792207792,1.2194482226216412,1.2736231442748729,2.121847238814708,1.245163353769375,1.1862180831627904
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.50,the_hunger_games,65,3.464851348216717,12.34113883972168,0,0.0,3.5618090357825576,1.007445789110031,1.0703366881786176,1.1374582242476419,3.0773982154948443
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.51,the_hunger_games,67,3.0904562370538877,14.515057563781738,0,0.0,4.6967361613956555,1.4577648877586815,3.5206057863081894,0.9063048314252443,1.0929778155416605
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.52,the_hunger_games,74,2.9657110224046894,12.59016227722168,0,0.0,4.24524243330127,1.1133619407476123,1.9710654795528622,1.7006922695985782,1.4721529222949574
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.55,the_hunger_games,59,3.0553519290130016,15.273722648620605,0,0.0,4.999006007649867,0.9398376755173352,1.1446913271418966,1.4067521325614645,1.3347004402154403
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.57,the_hunger_games,66,3.0274784471980776,4.059684753417969,0,0.0,1.3409458809443202,1.0393098299796226,1.063222280714062,1.1727907812899174,0.9900991361794654
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.58,the_hunger_games,57,4.007370617959583,18.81768798828125,0,0.0,4.695769316655463,1.0499293413460273,1.7308670827768289,1.2133425465510281,1.6918741087743028
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.59,the_hunger_games,66,3.9317198455700595,14.085185050964355,0,0.0,3.582448802102314,1.7390655341758885,2.4158725890090706,1.0583909296101714,1.5711950647765884
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.68,the_hunger_games,60,3.447200049145613,15.825102806091309,0,0.0,4.590712050498361,1.4507161697398467,1.0592878211355647,2.2780372036353023,3.4264954436770716
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.72,the_hunger_games,60,3.781216413838168,16.944032669067383,0,0.0,4.481106293481929,0.9846308588939288,1.537650911300585,1.8202782259625243,1.0106645062342492
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.74,the_hunger_games,58,3.1931149510281354,6.155465841293335,1,0.017241379310344827,1.9277307380717275,2.3665743997816837,1.183942255715101,1.305014680053919,1.1203854094748493
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.80,the_hunger_games,66,3.00830057801707,12.781411170959473,0,0.0,4.248714794112886,1.0148280056512637,1.0446939704895994,1.0708249521595767,2.0712888854165743
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.82,the_hunger_games,68,3.196913520723362,9.87132740020752,0,0.0,3.087768041336928,0.9966889711974071,1.0078243280058476,1.2517389373070702,1.0379996703565026
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.84,the_hunger_games,67,2.5284036573495214,5.121546030044556,1,0.014925373134328358,2.0256045806441274,2.2460050008624592,2.879458222561971,1.4867289385971014,1.5435307920931753
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.85,the_hunger_games,59,3.8494877999932586,5.959530830383301,0,0.0,1.5481360482279585,1.4670173611863444,1.1119973884665886,2.2771354787671108,1.2922573359327494
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.86,the_hunger_games,60,2.752252170622038,16.012401580810547,0,0.0,5.817926769839398,0.9859002360032274,1.18126881289865,1.0093623748662068,1.3047198850356143
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.89,the_hunger_games,70,3.426984085040125,9.223174095153809,0,0.0,2.6913384673759926,1.5777294035988174,0.9862157694393822,1.022900629830341,1.1816565611426946
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.91,the_hunger_games,63,4.030150422028133,12.667023658752441,0,0.0,3.143064732650323,3.0412170637549547,0.9125135010520925,0.9167928808655227,1.6307297228874742
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.92,the_hunger_games,73,2.997241440382212,3.14750306494534,15,0.2054794520547945,1.0501333067595537,1.112478733856349,1.759179018812505,1.2806745917424773,1.10310794680008
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.93,the_hunger_games,66,2.901754875526284,3.9767577431418677,10,0.15151515151515152,1.3704664638223838,1.5335183089040072,1.6036870328607256,2.135429892696979,1.6966238541119818
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.94,the_hunger_games,59,3.101965302380465,3.5414844283035825,27,0.4576271186440678,1.1416905358631277,1.3470612858137974,1.1692146118425149,2.1756920972549194,1.4586931952862685
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.96,the_hunger_games,64,3.1055993483169004,13.181466102600098,0,0.0,4.244419393552448,1.2653510158618488,1.3663168526070268,1.0309377252718457,1.0988014162152235
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.97,the_hunger_games,56,3.78133338830334,17.798213958740234,0,0.0,4.706861874119536,1.2062297293949802,1.983511696498198,1.4254281507824624,1.1167848696060334
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.37.99,the_hunger_games,71,2.8422042663327196,12.874669075012207,0,0.0,4.529818362289745,2.614563737864627,0.9446696632483065,1.1786662859892807,1.026299954299438
