pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
Pleias-350M + mem. Pleias-350M,bookmia.01.76,72,2.85359,2.62404,1
Pleias-350M + mem. Pleias-350M,bookmia.01.77,67,3.54127,3.52966,1
Pleias-350M + mem. Pleias-350M,bookmia.01.78,67,3.32347,3.1447,1
Pleias-350M + mem. Pleias-350M,bookmia.01.79,70,3.46431,3.36258,1
Pleias-350M + mem. Pleias-350M,bookmia.01.81,60,3.07931,3.0888,0
Pleias-350M + mem. Pleias-350M,bookmia.01.82,69,3.36691,3.24718,1
Pleias-350M + mem. Pleias-350M,bookmia.01.83,71,3.25989,2.2999,1
Pleias-350M + mem. Pleias-350M,bookmia.01.87,71,3.73655,3.30683,1
Pleias-350M + mem. Pleias-350M,bookmia.01.88,62,3.03858,2.96011,1
Pleias-350M + mem. Pleias-350M,bookmia.01.89,69,3.32938,3.2781,1
Pleias-350M + mem. Pleias-350M,bookmia.01.90,71,3.09104,2.49165,1
Pleias-350M + mem. Pleias-350M,bookmia.01.97,64,3.01966,2.85648,1
Pleias-350M + mem. Pleias-350M,bookmia.07.02,53,2.92829,2.72963,1
Pleias-350M + mem. Pleias-350M,bookmia.07.03,65,3.62651,3.53536,1
Pleias-350M + mem. Pleias-350M,bookmia.07.04,63,4.27467,4.24185,1
Pleias-350M + mem. Pleias-350M,bookmia.07.05,63,4.10286,3.44543,1
Pleias-350M + mem. Pleias-350M,bookmia.07.06,61,3.23413,3.24134,0
Pleias-350M + mem. Pleias-350M,bookmia.07.07,64,3.27286,3.21843,1
Pleias-350M + mem. Pleias-350M,bookmia.07.08,71,2.77053,2.7814,0
Pleias-350M + mem. Pleias-350M,bookmia.07.09,67,3.77683,3.6849,1
Pleias-350M + mem. Pleias-350M,bookmia.07.15,70,3.6398,3.4231,1
Pleias-350M + mem. Pleias-350M,bookmia.07.16,61,3.67644,3.3726,1
Pleias-350M + mem. Pleias-350M,bookmia.07.17,62,3.40985,2.90555,1
Pleias-350M + mem. Pleias-350M,bookmia.07.20,62,3.86327,3.62298,1
Pleias-350M + mem. Pleias-350M,bookmia.07.24,59,2.37177,2.20753,1
Pleias-350M + mem. Pleias-350M,bookmia.07.25,61,3.86466,3.70265,1
Pleias-350M + mem. Pleias-350M,bookmia.07.26,62,3.39592,3.25694,1
Pleias-350M + mem. Pleias-350M,bookmia.07.28,70,3.3558,3.3671,0
Pleias-350M + mem. Pleias-350M,bookmia.07.29,60,3.79106,3.7203,1
Pleias-350M + mem. Pleias-350M,bookmia.07.30,59,4.26117,4.27132,0
Pleias-350M + mem. Pleias-350M,bookmia.07.31,65,3.13246,3.05717,1
Pleias-350M + mem. Pleias-350M,bookmia.07.32,70,3.30231,3.16706,1
Pleias-350M + mem. Pleias-350M,bookmia.07.37,58,3.58576,3.59208,0
Pleias-350M + mem. Pleias-350M,bookmia.07.40,62,2.69345,2.2923,1
Pleias-350M + mem. Pleias-350M,bookmia.07.41,64,3.75666,3.77715,0
Pleias-350M + mem. Pleias-350M,bookmia.07.43,65,3.58362,3.39386,1
Pleias-350M + mem. Pleias-350M,bookmia.07.44,58,3.68973,3.33223,1
Pleias-350M + mem. Pleias-350M,bookmia.07.47,60,2.73428,2.64816,1
Pleias-350M + mem. Pleias-350M,bookmia.07.49,62,2.66539,2.60468,1
Pleias-350M + mem. Pleias-350M,bookmia.07.53,68,3.08694,2.89377,1
Pleias-350M + mem. Pleias-350M,bookmia.07.54,61,3.42313,3.13518,1
Pleias-350M + mem. Pleias-350M,bookmia.07.55,60,3.16082,3.05078,1
Pleias-350M + mem. Pleias-350M,bookmia.07.56,62,3.44418,3.36542,1
Pleias-350M + mem. Pleias-350M,bookmia.07.57,62,3.34276,3.23859,1
Pleias-350M + mem. Pleias-350M,bookmia.07.59,59,3.13145,2.72788,1
Pleias-350M + mem. Pleias-350M,bookmia.07.61,58,4.12751,3.84387,1
Pleias-350M + mem. Pleias-350M,bookmia.07.62,66,3.67648,3.68239,0
Pleias-350M + mem. Pleias-350M,bookmia.07.63,65,3.2576,2.80433,1
Pleias-350M + mem. Pleias-350M,bookmia.07.66,64,3.02031,2.94091,1
Pleias-350M + mem. Pleias-350M,bookmia.07.70,63,3.54042,3.4005,1
Pleias-350M + mem. Pleias-350M,bookmia.07.72,63,3.05493,3.06494,0
Pleias-350M + mem. Pleias-350M,bookmia.07.73,60,3.26407,2.12527,1
Pleias-350M + mem. Pleias-350M,bookmia.07.77,57,3.05395,2.94916,1
Pleias-350M + mem. Pleias-350M,bookmia.07.80,71,3.53218,2.74927,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.11,59,2.01345,1.55525,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.26,59,2.96098,2.33437,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.31,57,3.11068,3.11574,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.40,61,2.81001,2.59335,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.46,62,3.37428,2.78157,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.48,69,2.72584,2.42871,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.64,62,2.92266,2.93104,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.00.71,65,2.95334,2.6971,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.00,64,2.23027,2.07686,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.01,67,2.89032,2.89331,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.02,63,3.66184,3.227,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.03,63,3.44008,3.28231,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.04,65,3.12301,3.12537,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.07,63,3.76958,3.50496,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.10,72,3.43303,2.98142,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.11,65,3.02862,2.84407,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.12,95,2.92114,2.61998,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.14,62,3.04902,2.9556,1
