pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.90,73,2.23859,2.25168,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.01.97,70,2.02127,2.03409,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.02,57,2.13609,2.07467,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.03,70,3.06331,3.07765,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.04,67,3.14097,3.15187,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.05,65,3.44962,3.44189,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.06,61,2.51002,2.35458,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.07,65,2.9042,2.91759,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.08,74,2.15611,2.0326,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.09,68,2.95536,2.96419,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.15,75,2.66755,2.54846,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.16,67,2.54465,2.5555,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.17,67,2.77511,2.73636,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.20,64,3.25027,3.25595,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.24,64,1.926,1.93563,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.25,64,3.20293,3.21161,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.26,63,2.91881,2.92763,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.28,77,2.80432,2.69252,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.29,65,2.96111,2.96809,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.30,64,3.47455,3.14236,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.31,74,2.32183,2.33719,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.32,73,2.80078,2.80942,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.37,59,3.20497,2.85382,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.40,63,2.17269,2.18512,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.41,63,3.81446,3.8314,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.43,71,2.59594,2.64054,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.44,60,2.92845,2.94027,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.47,64,1.98733,2.06683,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.49,68,2.06096,2.03403,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.53,74,2.4276,2.2426,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.54,62,2.95274,2.95943,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.55,64,2.93863,2.9512,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.56,64,2.56722,2.5728,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.57,67,2.94539,2.95233,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.59,65,2.2486,2.26203,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.61,63,3.51438,3.5471,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.62,67,2.91724,2.78795,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.63,69,2.68631,2.6923,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.66,71,2.02668,2.01497,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.70,69,2.9354,2.66941,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.72,67,2.42986,2.29823,1
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.73,64,2.57737,2.58463,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.77,58,2.59911,2.60444,0
Phi-3.5-mini + mem. Phi-3.5-mini,bookmia.07.80,73,2.79556,2.80334,0
open-calm-1b + mem. open-calm-1b,bookmia.00.11,79,2.49595,2.20886,1
open-calm-1b + mem. open-calm-1b,bookmia.00.26,87,2.96608,2.38983,1
open-calm-1b + mem. open-calm-1b,bookmia.00.31,82,3.36139,3.37932,0
open-calm-1b + mem. open-calm-1b,bookmia.00.40,91,3.09081,2.44797,1
open-calm-1b + mem. open-calm-1b,bookmia.00.46,104,3.0247,2.55019,1
open-calm-1b + mem. open-calm-1b,bookmia.00.48,107,2.74208,2.35125,1
open-calm-1b + mem. open-calm-1b,bookmia.00.64,97,3.15475,2.69858,1
open-calm-1b + mem. open-calm-1b,bookmia.00.71,90,3.46966,3.27412,1
open-calm-1b + mem. open-calm-1b,bookmia.01.00,93,3.20599,2.60033,1
open-calm-1b + mem. open-calm-1b,bookmia.01.01,100,3.35625,3.36241,0
open-calm-1b + mem. open-calm-1b,bookmia.01.02,90,3.93783,3.63086,1
open-calm-1b + mem. open-calm-1b,bookmia.01.03,85,3.58077,3.31372,1
open-calm-1b + mem. open-calm-1b,bookmia.01.04,89,3.64395,3.66196,0
open-calm-1b + mem. open-calm-1b,bookmia.01.07,100,3.23412,3.10709,1
open-calm-1b + mem. open-calm-1b,bookmia.01.10,102,3.33554,3.04971,1
open-calm-1b + mem. open-calm-1b,bookmia.01.11,94,3.1976,2.86896,1
open-calm-1b + mem. open-calm-1b,bookmia.01.12,120,3.59322,3.3078,1
open-calm-1b + mem. open-calm-1b,bookmia.01.14,86,3.13392,2.91523,1
open-calm-1b + mem. open-calm-1b,bookmia.01.20,105,3.11074,2.7141,1
open-calm-1b + mem. open-calm-1b,bookmia.01.22,91,3.50711,3.18834,1
open-calm-1b + mem. open-calm-1b,bookmia.01.23,106,2.94556,2.70365,1
open-calm-1b + mem. open-calm-1b,bookmia.01.26,96,3.43769,3.04229,1
open-calm-1b + mem. open-calm-1b,bookmia.01.27,104,3.36949,3.31456,1
open-calm-1b + mem. open-calm-1b,bookmia.01.31,91,3.37031,3.26374,1
open-calm-1b + mem. open-calm-1b,bookmia.01.32,98,3.42477,3.41781,1
open-calm-1b + mem. open-calm-1b,bookmia.01.33,95,3.58178,3.61101,0
open-calm-1b + mem. open-calm-1b,bookmia.01.36,104,3.28533,2.98479,1
open-calm-1b + mem. open-calm-1b,bookmia.01.37,94,3.51644,3.12174,1
open-calm-1b + mem. open-calm-1b,bookmia.01.39,95,3.63667,3.36406,1
open-calm-1b + mem. open-calm-1b,bookmia.01.41,91,3.51366,3.47848,1
open-calm-1b + mem. open-calm-1b,bookmia.01.42,97,3.07074,2.69362,1
open-calm-1b + mem. open-calm-1b,bookmia.01.43,112,3.43182,3.03292,1
open-calm-1b + mem. open-calm-1b,bookmia.01.44,96,3.25169,3.05863,1
open-calm-1b + mem. open-calm-1b,bookmia.01.46,112,3.34605,2.80845,1
open-calm-1b + mem. open-calm-1b,bookmia.01.49,96,3.27925,3.02467,1
open-calm-1b + mem. open-calm-1b,bookmia.01.51,88,3.26249,2.72373,1
open-calm-1b + mem. open-calm-1b,bookmia.01.52,108,3.20054,2.83793,1
open-calm-1b + mem. open-calm-1b,bookmia.01.58,99,2.88771,2.26709,1
open-calm-1b + mem. open-calm-1b,bookmia.01.59,102,3.43369,3.08988,1
open-calm-1b + mem. open-calm-1b,bookmia.01.60,98,3.2976,3.04176,1
open-calm-1b + mem. open-calm-1b,bookmia.01.62,101,3.02654,2.97668,1
open-calm-1b + mem. open-calm-1b,bookmia.01.69,97,3.55103,3.57073,0
open-calm-1b + mem. open-calm-1b,bookmia.01.71,97,3.12224,3.04711,1
open-calm-1b + mem. open-calm-1b,bookmia.01.73,101,3.08873,2.48198,1
open-calm-1b + mem. open-calm-1b,bookmia.01.74,100,3.47847,3.18413,1
open-calm-1b + mem. open-calm-1b,bookmia.01.75,104,3.2649,2.97405,1
open-calm-1b + mem. open-calm-1b,bookmia.01.76,101,3.00653,2.83805,1
open-calm-1b + mem. open-calm-1b,bookmia.01.77,96,3.29523,3.13074,1
open-calm-1b + mem. open-calm-1b,bookmia.01.78,99,3.26579,2.79061,1
open-calm-1b + mem. open-calm-1b,bookmia.01.79,109,3.17251,2.96698,1
open-calm-1b + mem. open-calm-1b,bookmia.01.81,93,2.56945,2.58961,0
open-calm-1b + mem. open-calm-1b,bookmia.01.82,102,3.09626,2.85412,1
open-calm-1b + mem. open-calm-1b,bookmia.01.83,104,3.12936,2.82929,1
open-calm-1b + mem. open-calm-1b,bookmia.01.87,107,3.27748,3.20792,1
open-calm-1b + mem. open-calm-1b,bookmia.01.88,89,3.06122,2.90104,1
open-calm-1b + mem. open-calm-1b,bookmia.01.89,100,3.66548,3.02276,1
open-calm-1b + mem. open-calm-1b,bookmia.01.90,106,2.80057,2.51161,1
open-calm-1b + mem. open-calm-1b,bookmia.01.97,89,3.39726,3.07151,1
open-calm-1b + mem. open-calm-1b,bookmia.07.02,69,2.98552,2.01831,1
open-calm-1b + mem. open-calm-1b,bookmia.07.03,98,2.98589,2.53883,1
open-calm-1b + mem. open-calm-1b,bookmia.07.04,93,3.75198,3.12945,1
open-calm-1b + mem. open-calm-1b,bookmia.07.05,96,3.72786,3.51328,1
open-calm-1b + mem. open-calm-1b,bookmia.07.06,84,3.26498,3.28198,0
open-calm-1b + mem. open-calm-1b,bookmia.07.07,90,3.38754,3.07838,1
open-calm-1b + mem. open-calm-1b,bookmia.07.08,95,3.00635,2.97384,1
open-calm-1b + mem. open-calm-1b,bookmia.07.09,101,3.35543,2.89022,1
open-calm-1b + mem. open-calm-1b,bookmia.07.15,106,3.23678,3.25145,0
open-calm-1b + mem. open-calm-1b,bookmia.07.16,88,3.26672,2.99997,1
open-calm-1b + mem. open-calm-1b,bookmia.07.17,94,2.98567,2.46187,1
open-calm-1b + mem. open-calm-1b,bookmia.07.20,98,3.46747,2.85236,1
open-calm-1b + mem. open-calm-1b,bookmia.07.24,81,2.62116,2.2458,1
open-calm-1b + mem. open-calm-1b,bookmia.07.25,93,3.64345,3.47641,1
open-calm-1b + mem. open-calm-1b,bookmia.07.26,83,3.45977,3.13482,1
open-calm-1b + mem. open-calm-1b,bookmia.07.28,106,3.06185,3.06457,0
open-calm-1b + mem. open-calm-1b,bookmia.07.29,94,3.11701,2.97329,1
open-calm-1b + mem. open-calm-1b,bookmia.07.30,92,3.15187,3.17194,0
open-calm-1b + mem. open-calm-1b,bookmia.07.31,93,3.00682,2.71172,1
open-calm-1b + mem. open-calm-1b,bookmia.07.32,111,2.90344,2.46476,1
open-calm-1b + mem. open-calm-1b,bookmia.07.37,94,3.09218,3.10006,0
open-calm-1b + mem. open-calm-1b,bookmia.07.40,87,2.94416,2.49371,1
open-calm-1b + mem. open-calm-1b,bookmia.07.41,107,3.01696,2.60329,1
open-calm-1b + mem. open-calm-1b,bookmia.07.43,92,3.44803,3.28246,1
open-calm-1b + mem. open-calm-1b,bookmia.07.44,90,3.26249,2.79215,1
open-calm-1b + mem. open-calm-1b,bookmia.07.47,92,2.65554,2.39687,1
open-calm-1b + mem. open-calm-1b,bookmia.07.49,97,2.55614,2.19254,1
open-calm-1b + mem. open-calm-1b,bookmia.07.53,103,2.91151,2.44439,1
open-calm-1b + mem. open-calm-1b,bookmia.07.54,84,3.51913,3.18571,1
open-calm-1b + mem. open-calm-1b,bookmia.07.55,89,3.22842,3.13062,1
open-calm-1b + mem. open-calm-1b,bookmia.07.56,86,3.24515,3.2534,0
open-calm-1b + mem. open-calm-1b,bookmia.07.57,90,3.07244,2.79512,1
open-calm-1b + mem. open-calm-1b,bookmia.07.59,91,2.84139,2.61586,1
open-calm-1b + mem. open-calm-1b,bookmia.07.61,93,3.29502,3.08977,1
open-calm-1b + mem. open-calm-1b,bookmia.07.62,103,3.06916,3.09485,0
open-calm-1b + mem. open-calm-1b,bookmia.07.63,97,3.11381,2.36001,1
open-calm-1b + mem. open-calm-1b,bookmia.07.66,99,2.70019,2.47973,1
open-calm-1b + mem. open-calm-1b,bookmia.07.70,95,3.04568,2.71894,1
open-calm-1b + mem. open-calm-1b,bookmia.07.72,103,3.02453,3.07141,0
open-calm-1b + mem. open-calm-1b,bookmia.07.73,98,2.85571,2.42566,1
open-calm-1b + mem. open-calm-1b,bookmia.07.77,88,2.95418,2.60306,1
open-calm-1b + mem. open-calm-1b,bookmia.07.80,110,3.07757,2.64974,1
open-calm-3b + mem. open-calm-3b,bookmia.00.11,79,2.54786,2.30928,1
open-calm-3b + mem. open-calm-3b,bookmia.00.26,87,3.1511,2.73825,1
open-calm-3b + mem. open-calm-3b,bookmia.00.31,82,3.41513,3.42398,0
open-calm-3b + mem. open-calm-3b,bookmia.00.40,91,2.98882,2.62166,1
open-calm-3b + mem. open-calm-3b,bookmia.00.46,104,3.07918,2.78201,1
open-calm-3b + mem. open-calm-3b,bookmia.00.48,107,3.08441,2.89825,1
open-calm-3b + mem. open-calm-3b,bookmia.00.64,97,3.36932,2.97634,1
open-calm-3b + mem. open-calm-3b,bookmia.00.71,90,3.55168,3.26746,1
open-calm-3b + mem. open-calm-3b,bookmia.01.00,93,3.26483,2.82831,1
open-calm-3b + mem. open-calm-3b,bookmia.01.01,100,3.21992,3.22391,0
open-calm-3b + mem. open-calm-3b,bookmia.01.02,90,4.04283,3.65925,1
open-calm-3b + mem. open-calm-3b,bookmia.01.03,85,3.6706,3.41473,1
open-calm-3b + mem. open-calm-3b,bookmia.01.04,89,3.66658,3.68981,0
open-calm-3b + mem. open-calm-3b,bookmia.01.07,100,3.50159,3.45522,1
open-calm-3b + mem. open-calm-3b,bookmia.01.10,102,3.30627,3.12666,1
open-calm-3b + mem. open-calm-3b,bookmia.01.11,94,3.4537,3.01422,1
open-calm-3b + mem. open-calm-3b,bookmia.01.12,120,3.43403,3.25305,1
open-calm-3b + mem. open-calm-3b,bookmia.01.14,86,3.39884,3.21203,1
open-calm-3b + mem. open-calm-3b,bookmia.01.20,105,3.08628,2.96237,1
open-calm-3b + mem. open-calm-3b,bookmia.01.22,91,3.51564,3.28947,1
open-calm-3b + mem. open-calm-3b,bookmia.01.23,106,2.97111,2.68799,1
open-calm-3b + mem. open-calm-3b,bookmia.01.26,96,3.27109,2.96373,1
open-calm-3b + mem. open-calm-3b,bookmia.01.27,104,3.38,3.38255,0
open-calm-3b + mem. open-calm-3b,bookmia.01.31,91,3.3393,3.19341,1
open-calm-3b + mem. open-calm-3b,bookmia.01.32,98,3.48258,3.48875,0
open-calm-3b + mem. open-calm-3b,bookmia.01.33,95,3.74434,3.74926,0
open-calm-3b + mem. open-calm-3b,bookmia.01.36,104,3.40885,3.26764,1
open-calm-3b + mem. open-calm-3b,bookmia.01.37,94,3.3658,3.18384,1
open-calm-3b + mem. open-calm-3b,bookmia.01.39,95,3.8304,3.61582,1
open-calm-3b + mem. open-calm-3b,bookmia.01.41,91,3.29801,3.30139,0
open-calm-3b + mem. open-calm-3b,bookmia.01.42,97,3.06818,2.76991,1
open-calm-3b + mem. open-calm-3b,bookmia.01.43,112,3.31625,2.84764,1
open-calm-3b + mem. open-calm-3b,bookmia.01.44,96,3.2303,3.03951,1
open-calm-3b + mem. open-calm-3b,bookmia.01.46,112,3.5599,3.14376,1
open-calm-3b + mem. open-calm-3b,bookmia.01.49,96,3.46349,3.21498,1
open-calm-3b + mem. open-calm-3b,bookmia.01.51,88,3.50005,3.12972,1
open-calm-3b + mem. open-calm-3b,bookmia.01.52,108,3.1951,2.89119,1
open-calm-3b + mem. open-calm-3b,bookmia.01.58,99,2.941,2.4671,1
open-calm-3b + mem. open-calm-3b,bookmia.01.59,102,3.45972,3.31462,1
open-calm-3b + mem. open-calm-3b,bookmia.01.60,98,3.31713,3.12736,1
open-calm-3b + mem. open-calm-3b,bookmia.01.62,101,3.02379,2.95715,1
open-calm-3b + mem. open-calm-3b,bookmia.01.69,97,3.57869,3.58153,0
open-calm-3b + mem. open-calm-3b,bookmia.01.71,97,3.15357,3.09758,1
open-calm-3b + mem. open-calm-3b,bookmia.01.73,101,3.07574,2.85064,1
open-calm-3b + mem. open-calm-3b,bookmia.01.74,100,3.54442,3.35387,1
open-calm-3b + mem. open-calm-3b,bookmia.01.75,104,3.21845,3.11041,1
open-calm-3b + mem. open-calm-3b,bookmia.01.76,101,3.05039,2.83554,1
open-calm-3b + mem. open-calm-3b,bookmia.01.77,96,3.38026,3.12923,1
open-calm-3b + mem. open-calm-3b,bookmia.01.78,99,3.12048,2.84178,1
open-calm-3b + mem. open-calm-3b,bookmia.01.79,109,3.17117,2.80961,1
open-calm-3b + mem. open-calm-3b,bookmia.01.81,93,2.74493,2.75066,0
open-calm-3b + mem. open-calm-3b,bookmia.01.82,102,3.10342,2.97815,1
open-calm-3b + mem. open-calm-3b,bookmia.01.83,104,2.96576,2.63976,1
open-calm-3b + mem. open-calm-3b,bookmia.01.87,107,3.5109,3.27543,1
open-calm-3b + mem. open-calm-3b,bookmia.01.88,89,3.2205,2.99885,1
open-calm-3b + mem. open-calm-3b,bookmia.01.89,100,3.58983,3.09028,1
open-calm-3b + mem. open-calm-3b,bookmia.01.90,106,2.81469,2.71457,1
open-calm-3b + mem. open-calm-3b,bookmia.01.97,89,3.40451,3.15501,1
open-calm-3b + mem. open-calm-3b,bookmia.07.02,69,2.79749,2.29233,1
open-calm-3b + mem. open-calm-3b,bookmia.07.03,98,2.94184,2.56321,1
open-calm-3b + mem. open-calm-3b,bookmia.07.04,93,3.76711,3.13369,1
open-calm-3b + mem. open-calm-3b,bookmia.07.05,96,3.75649,3.51367,1
open-calm-3b + mem. open-calm-3b,bookmia.07.06,84,3.24171,3.24544,0
open-calm-3b + mem. open-calm-3b,bookmia.07.07,90,3.40122,2.98162,1
open-calm-3b + mem. open-calm-3b,bookmia.07.08,95,2.8781,2.88438,0
open-calm-3b + mem. open-calm-3b,bookmia.07.09,101,3.19075,2.87032,1
open-calm-3b + mem. open-calm-3b,bookmia.07.15,106,3.19129,3.19697,0
open-calm-3b + mem. open-calm-3b,bookmia.07.16,88,3.37544,3.12567,1
open-calm-3b + mem. open-calm-3b,bookmia.07.17,94,3.06099,2.67009,1
open-calm-3b + mem. open-calm-3b,bookmia.07.20,98,3.61391,3.34723,1
open-calm-3b + mem. open-calm-3b,bookmia.07.24,81,2.77012,2.59828,1
open-calm-3b + mem. open-calm-3b,bookmia.07.25,93,3.71477,3.56438,1
open-calm-3b + mem. open-calm-3b,bookmia.07.26,83,3.42226,3.09875,1
open-calm-3b + mem. open-calm-3b,bookmia.07.28,106,2.91386,2.91536,0
open-calm-3b + mem. open-calm-3b,bookmia.07.29,94,3.35053,3.25723,1
open-calm-3b + mem. open-calm-3b,bookmia.07.30,92,3.05211,3.05502,0
open-calm-3b + mem. open-calm-3b,bookmia.07.31,93,2.90983,2.69694,1
open-calm-3b + mem. open-calm-3b,bookmia.07.32,111,3.02619,2.66919,1
open-calm-3b + mem. open-calm-3b,bookmia.07.37,94,3.21372,3.21578,0
open-calm-3b + mem. open-calm-3b,bookmia.07.40,87,2.91902,2.58211,1
open-calm-3b + mem. open-calm-3b,bookmia.07.41,107,3.03321,2.88979,1
open-calm-3b + mem. open-calm-3b,bookmia.07.43,92,3.58573,3.44432,1
open-calm-3b + mem. open-calm-3b,bookmia.07.44,90,3.26185,3.02736,1
open-calm-3b + mem. open-calm-3b,bookmia.07.47,92,2.597,2.2794,1
open-calm-3b + mem. open-calm-3b,bookmia.07.49,97,2.45122,2.33977,1
open-calm-3b + mem. open-calm-3b,bookmia.07.53,103,3.09975,2.78118,1
open-calm-3b + mem. open-calm-3b,bookmia.07.54,84,3.2104,2.95914,1
open-calm-3b + mem. open-calm-3b,bookmia.07.55,89,3.27409,3.01386,1
open-calm-3b + mem. open-calm-3b,bookmia.07.56,86,3.44137,3.1164,1
open-calm-3b + mem. open-calm-3b,bookmia.07.57,90,2.97174,2.71306,1
open-calm-3b + mem. open-calm-3b,bookmia.07.59,91,2.72011,2.58532,1
open-calm-3b + mem. open-calm-3b,bookmia.07.61,93,3.2506,3.03918,1
open-calm-3b + mem. open-calm-3b,bookmia.07.62,103,3.22707,3.22824,0
open-calm-3b + mem. open-calm-3b,bookmia.07.63,97,3.13785,2.67778,1
open-calm-3b + mem. open-calm-3b,bookmia.07.66,99,2.69195,2.50081,1
open-calm-3b + mem. open-calm-3b,bookmia.07.70,95,3.25206,2.66056,1
open-calm-3b + mem. open-calm-3b,bookmia.07.72,103,2.96781,2.97112,0
open-calm-3b + mem. open-calm-3b,bookmia.07.73,98,2.98109,2.75144,1
open-calm-3b + mem. open-calm-3b,bookmia.07.77,88,2.67014,2.4543,1
open-calm-3b + mem. open-calm-3b,bookmia.07.80,110,2.99413,2.73357,1
