prompt_id,cls,median_R,min_R,served_C4.1589,served_C33.271,served_C83.178,served_C159.83
fact_00140_André Le Nôtre,factual,148.19,99.51,anchor,anchor,anchor,risky#4
fact_00142_Cierre Wood,factual,163.43,110.97,anchor,anchor,anchor,risky#1
fact_00145_Carmelo Anthony,factual,188.8,116.79,anchor,anchor,anchor,risky#19
fact_00146_Asafa Powell,factual,168.09,108.3,anchor,anchor,anchor,risky#0
fact_00152_Felix Newman,factual,157.43,81.12,anchor,anchor,anchor,risky#0
fact_00154_Earl Garrison,factual,152.02,92.45,anchor,anchor,anchor,risky#0
fact_00162_Aleksandar Kolarov,factual,165.35,73.37,anchor,anchor,risky#15,risky#2
fact_00163_Alexandre Hohagen,factual,151.09,84.85,anchor,anchor,anchor,risky#0
fact_00166_Emcee N.I.C.E.,factual,160.83,72.99,anchor,anchor,risky#3,risky#1
fact_00181_Chris Woakes,factual,183.58,113.34,anchor,anchor,anchor,risky#0
fact_00182_Diosdado Cabello,factual,153.26,98.76,anchor,anchor,anchor,risky#1
fact_00184_Dana Awartani,factual,144.63,78.23,anchor,anchor,risky#7,risky#1
fact_00185_Brianna Keilar,factual,166.3,95.05,anchor,anchor,anchor,risky#1
fact_00188_Cédric Bakambu,factual,160.98,81.83,anchor,anchor,anchor,risky#2
fact_00193_Bobby Fischer,factual,190.01,116.97,anchor,anchor,anchor,risky#1
fact_00198_Benjamin Lawrence Reid,factual,156.59,64.23,anchor,anchor,risky#29,risky#3
fact_00199_Djimon Hounsou,factual,187.03,105.15,anchor,anchor,anchor,risky#0
fact_00202_Ahsee Tuala,factual,166.23,109.48,anchor,anchor,anchor,risky#0
fact_00204_Don DeLillo,factual,175.78,100.45,anchor,anchor,anchor,risky#0
fact_00207_Elizabeth Inglis,factual,138.3,66.0,anchor,anchor,risky#1,risky#0
fact_00208_Fifi Cooper,factual,189.49,122.11,anchor,anchor,anchor,risky#5
fact_00223_Ahmed Mumin Warfa,factual,144.39,68.1,anchor,anchor,risky#26,risky#1
fact_00226_Dewi Sartika,factual,154.98,88.47,anchor,anchor,anchor,risky#0
fact_00227_Alf Garland,factual,150.29,89.55,anchor,anchor,anchor,risky#0
fact_00230_Abdul Ilah Khatib,factual,129.06,61.84,anchor,anchor,risky#32,risky#0
fact_00239_Bif Naked,factual,185.96,133.74,anchor,anchor,anchor,risky#0
fact_00245_Dominique Blake,factual,164.15,90.51,anchor,anchor,anchor,risky#2
fact_00247_Diafra Sakho,factual,152.87,95.8,anchor,anchor,anchor,risky#1
fact_00249_Fahadh Faasil,factual,179.0,118.51,anchor,anchor,anchor,risky#4
fact_00250_Dr. Dre,factual,211.42,136.82,anchor,anchor,anchor,risky#22
fact_00255_Caitlin Lowe,factual,159.99,90.59,anchor,anchor,anchor,risky#6
fact_00257_Camille Paulus,factual,155.03,75.47,anchor,anchor,risky#48,risky#3
fact_00258_Charley Boorman,factual,200.7,134.39,anchor,anchor,anchor,risky#26
fact_00260_Douglas Wood (engineer),factual,154.2,87.49,anchor,anchor,anchor,risky#0
fact_00263_Billy Snedden,factual,155.5,70.71,anchor,anchor,risky#22,risky#0
fact_00264_Esteban Espíndola,factual,154.76,82.99,anchor,anchor,anchor,risky#0
fact_00270_Daniel Ek,factual,182.78,131.61,anchor,anchor,anchor,risky#12
fact_00275_Belisarius,factual,160.24,107.35,anchor,anchor,anchor,risky#0
fact_00276_Carol Dweck,factual,152.73,115.34,anchor,anchor,anchor,risky#0
fact_00286_Amr Diab,factual,160.61,78.83,anchor,anchor,risky#3,risky#3
fact_00296_Akbar Hossain,factual,150.12,49.07,anchor,anchor,risky#21,risky#1
fact_00300_Coco Chanel,factual,216.45,129.31,anchor,anchor,anchor,risky#13
fact_00302_Enamul Haque (engineer),factual,151.76,71.03,anchor,anchor,risky#38,risky#0
fact_00304_Abdelhamid Shabana,factual,136.3,71.19,anchor,anchor,risky#4,risky#0
fact_00307_Abdullahi Mohammad Ahmad Hassan,factual,151.75,81.22,anchor,anchor,anchor,risky#2
fact_00309_Diego Godín,factual,179.69,81.11,anchor,anchor,anchor,risky#2
fact_00312_Adel Emam,factual,145.53,71.74,anchor,anchor,risky#10,risky#2
fact_00315_Billy Conigliaro,factual,161.24,86.13,anchor,anchor,anchor,risky#1
fact_00316_Arif Mohammad Khan,factual,138.35,67.99,anchor,anchor,risky#27,risky#0
fact_00321_Bob Marley,factual,219.15,112.1,anchor,anchor,anchor,risky#6
fact_00328_Dana Ashbrook,factual,172.07,104.49,anchor,anchor,anchor,risky#0
fact_00332_Cha Eun-woo,factual,194.12,115.02,anchor,anchor,anchor,risky#9
fact_00333_Abdul Halik Hudu,factual,140.86,89.17,anchor,anchor,anchor,risky#1
fact_00335_Carl Braun (obstetrician),factual,153.96,74.83,anchor,anchor,risky#57,risky#1
fact_00343_Ameyaw Debrah,factual,158.13,88.01,anchor,anchor,anchor,risky#2
fact_00344_Cleopatra,factual,172.25,98.32,anchor,anchor,anchor,risky#1
fact_00345_Ana Cláudia Bolzan,factual,152.46,54.97,anchor,anchor,risky#16,risky#1
fact_00347_Evgeny Shalunov,factual,135.65,57.42,anchor,anchor,risky#17,risky#0
fact_00348_Charles Allen (jurist),factual,131.82,68.24,anchor,anchor,risky#0,risky#0
fact_00349_Deyverson,factual,155.88,82.05,anchor,anchor,anchor,risky#1
fact_00351_Cris Cyborg,factual,194.43,120.42,anchor,anchor,anchor,risky#1
fact_00354_Bobby Thomson,factual,182.99,87.03,anchor,anchor,anchor,risky#1
fact_00356_Eric Winter,factual,184.66,112.99,anchor,anchor,anchor,risky#0
fact_00362_Aert van der Neer,factual,142.52,86.84,anchor,anchor,anchor,risky#0
fact_00364_Blanca Errázuriz,factual,140.58,77.4,anchor,anchor,risky#15,risky#0
fact_00366_Deitrick Haddon,factual,168.01,98.11,anchor,anchor,anchor,risky#0
fact_00367_Andreas Ivanschitz,factual,158.9,73.8,anchor,anchor,risky#25,risky#1
fact_00368_Clancy Brown,factual,190.47,106.94,anchor,anchor,anchor,risky#7
fact_00371_Carrie Ann Inaba,factual,179.89,115.71,anchor,anchor,anchor,risky#2
fact_00374_Cicero,factual,152.31,94.47,anchor,anchor,anchor,risky#0
fact_00376_14th Dalai Lama,factual,173.62,115.8,anchor,anchor,anchor,risky#2
