k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
-1.0,oracle,20,kl,bookmia.01.36,a_game_of_thrones,309,16,0.0,0.0,-20.0,,660.471,,0,10.146,320,16,16,10,0.7525,87
-1.0,oracle,20,kl,bookmia.01.37,a_game_of_thrones,297,15,0.0,0.0,-20.0,,580.057,,0,10.358,300,15,15,10,0.7619,90
-1.0,oracle,20,kl,bookmia.01.39,a_game_of_thrones,289,15,0.0,0.0,-20.0,,743.595,,0,10.661,300,15,15,10,0.745,66
-1.0,oracle,20,kl,bookmia.01.41,a_game_of_thrones,315,16,0.0,0.0,-20.0,,675.604,,0,9.957,320,16,16,13,0.9855,80
-1.0,oracle,20,kl,bookmia.01.42,a_game_of_thrones,296,15,0.0,0.0,-20.0,,742.585,,0,10.621,300,15,15,13,0.9614,161
-1.0,oracle,20,kl,bookmia.01.43,a_game_of_thrones,341,18,0.0,0.0,-20.0,,853.624,,0,10.203,360,18,18,15,0.8592,121
-1.0,oracle,20,kl,bookmia.01.44,a_game_of_thrones,326,17,0.0,0.0,-20.0,,806.696,,0,11.063,340,17,17,15,0.9856,177
-1.0,oracle,20,kl,bookmia.01.46,a_game_of_thrones,300,15,0.0,0.0,-20.0,,769.21,,0,12.128,300,15,15,10,0.6364,82
-1.0,oracle,20,kl,bookmia.01.49,a_game_of_thrones,327,17,0.0,0.0,-20.0,,705.298,,0,11.906,340,17,17,16,1.0,206
-1.0,oracle,20,kl,bookmia.01.51,a_game_of_thrones,301,16,0.0,0.0,-20.0,,701.62,,0,10.253,320,16,16,14,0.9671,149
-1.0,oracle,20,kl,bookmia.01.52,a_game_of_thrones,319,16,0.0,0.0,-20.0,,698.86,,0,9.99,320,16,16,15,1.0,207
-1.0,oracle,20,kl,bookmia.01.58,a_game_of_thrones,274,14,0.0,0.0,-20.0,,605.768,,0,11.117,280,14,14,13,1.0,189
-1.0,oracle,20,kl,bookmia.01.59,a_game_of_thrones,324,17,0.0,0.0,-20.0,,812.488,,0,11.896,340,17,17,15,0.9526,201
-1.0,oracle,20,kl,bookmia.01.60,a_game_of_thrones,323,17,0.0,0.0,-20.0,,855.384,,0,12.244,340,17,17,15,0.9665,147
-1.0,oracle,20,kl,bookmia.01.62,a_game_of_thrones,312,16,0.0,0.0,-20.0,,670.848,,0,10.71,320,16,16,11,0.7906,73
-1.0,oracle,20,kl,bookmia.01.69,a_game_of_thrones,296,15,0.0,0.0,-20.0,,794.87,,0,11.112,300,15,15,12,0.7228,146
-1.0,oracle,20,kl,bookmia.01.71,a_game_of_thrones,324,17,0.0,0.0,-20.0,,785.601,,0,11.055,340,17,17,16,1.0,211
-1.0,oracle,20,kl,bookmia.01.73,a_game_of_thrones,300,15,0.0,0.0,-20.0,,731.079,,0,10.373,300,15,15,14,1.0,119
-1.0,oracle,20,kl,bookmia.01.74,a_game_of_thrones,299,15,0.0,0.0,-20.0,,712.79,,0,10.016,300,15,15,13,1.0,120
-1.0,oracle,20,kl,bookmia.01.75,a_game_of_thrones,291,15,0.0,0.0,-20.0,,734.814,,0,11.026,300,15,15,13,0.9843,93
-1.0,oracle,20,kl,bookmia.01.76,a_game_of_thrones,299,15,0.0,0.0,-20.0,,735.93,,0,10.324,300,15,15,13,0.995,183
-1.0,oracle,20,kl,bookmia.01.77,a_game_of_thrones,330,17,0.0,0.0,-20.0,,761.26,,0,10.92,340,17,17,16,1.0,213
-1.0,oracle,20,kl,bookmia.01.78,a_game_of_thrones,288,15,0.0,0.0,-20.0,,671.617,,0,11.236,300,15,15,10,0.8918,121
-1.0,oracle,20,kl,bookmia.01.79,a_game_of_thrones,327,17,0.0,0.0,-20.0,,762.006,,0,11.454,340,17,17,13,0.8211,136
-1.0,oracle,20,kl,bookmia.01.81,a_game_of_thrones,302,16,0.0,0.0,-20.0,,675.808,,0,10.943,320,16,16,14,0.9854,143
-1.0,oracle,20,kl,bookmia.01.82,a_game_of_thrones,298,15,0.0,0.0,-20.0,,644.61,,0,10.606,300,15,15,14,1.0,208
-1.0,oracle,20,kl,bookmia.01.83,a_game_of_thrones,329,17,0.0,0.0,-20.0,,675.197,,0,10.871,340,17,17,15,0.89,178
-1.0,oracle,20,kl,bookmia.01.87,a_game_of_thrones,330,17,0.0,0.0,-20.0,,726.073,,0,11.351,340,17,17,13,0.9163,176
-1.0,oracle,20,kl,bookmia.01.88,a_game_of_thrones,299,15,0.0,0.0,-20.0,,714.113,,0,11.066,300,15,15,12,0.9188,91
-1.0,oracle,20,kl,bookmia.01.89,a_game_of_thrones,309,16,0.0,0.0,-20.0,,732.222,,0,11.532,320,16,16,13,0.9463,112
-1.0,oracle,20,kl,bookmia.01.90,a_game_of_thrones,274,14,0.0,0.0,-20.0,,659.827,,0,9.802,280,14,14,12,0.9692,151
-1.0,oracle,20,kl,bookmia.01.97,a_game_of_thrones,302,16,0.0,0.0,-20.0,,600.513,,0,10.267,320,16,16,13,0.9788,143
-1.0,oracle,20,kl,bookmia.07.02,casino_royale,285,15,0.0,0.0,-20.0,,648.306,,0,10.908,300,15,15,14,1.0,204
-1.0,oracle,20,kl,bookmia.07.03,casino_royale,301,16,0.0,0.0,-20.0,,849.913,,0,11.154,320,16,16,14,0.9858,166
-1.0,oracle,20,kl,bookmia.07.04,casino_royale,303,16,0.0,0.0,-20.0,,835.126,,0,10.777,320,16,16,15,1.0,212
-1.0,oracle,20,kl,bookmia.07.05,casino_royale,306,16,0.0,0.0,-20.0,,833.776,,0,12.221,320,16,16,15,1.0,211
-1.0,oracle,20,kl,bookmia.07.06,casino_royale,283,15,0.0,0.0,-20.0,,605.576,,0,10.01,300,15,15,11,0.9641,115
