prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.08,casino_royale,0.4541,0.5754,0.4414,0.744,0.8453,0,254,0.3527,40,0.5318,0.3527,0.5318,0.5266,40,0.6628,0.5845,0.6989,0.7343,119,0.8444,0.7343,0.8444,0.7343,119,0.8444,0.744,0.8453
bookmia.07.09,casino_royale,0.7799,0.8763,0.1756,0.4163,0.6101,0,219,0.11,20,0.2873,0.11,0.2873,0.0,13,0.1983,0.2488,0.3893,0.3589,34,0.6099,0.4163,0.6099,0.1148,24,0.2796,0.4163,0.6101
bookmia.07.15,casino_royale,0.7897,0.8825,0.25,0.7991,0.875,0,248,0.1121,24,0.2494,0.1121,0.2494,0.785,45,0.8482,0.785,0.8482,0.7804,89,0.8542,0.7944,0.8564,0.7757,142,0.8623,0.7991,0.875
bookmia.07.16,casino_royale,0.6465,0.7387,0.6381,0.8093,0.8923,1,247,0.7721,104,0.8389,0.7721,0.8389,0.7721,166,0.8731,0.7721,0.8731,0.7721,166,0.8724,0.8093,0.8798,0.7721,166,0.8923,0.8093,0.8923
bookmia.07.17,casino_royale,0.203,0.3362,0.0666,0.7079,0.8177,0,32,0.0,2,0.1189,0.0,0.1189,0.6584,130,0.7592,0.6584,0.7592,0.6436,130,0.8033,0.6584,0.8033,0.7079,143,0.8177,0.7079,0.8177
bookmia.07.20,casino_royale,0.3991,0.5319,0.1879,0.7512,0.8579,0,103,0.0,11,0.2254,0.0,0.2254,0.6009,128,0.8204,0.6056,0.8204,0.6808,145,0.8365,0.6808,0.8365,0.7512,160,0.8579,0.7512,0.8579
bookmia.07.24,casino_royale,0.5492,0.6328,0.5447,0.8187,0.9003,38,254,0.5337,103,0.6393,0.5337,0.6393,0.7927,103,0.8596,0.7927,0.8596,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003
bookmia.07.25,casino_royale,0.743,0.8525,0.0871,0.3738,0.5387,0,187,0.1028,22,0.2131,0.1028,0.2131,0.1075,23,0.2209,0.1075,0.2276,0.1075,23,0.2637,0.2944,0.4176,0.1075,23,0.1614,0.3738,0.5387
bookmia.07.26,casino_royale,0.2009,0.3483,0.239,0.7804,0.8714,0,246,0.2009,43,0.3155,0.2009,0.3155,0.2009,43,0.3155,0.2664,0.4136,0.743,102,0.8294,0.743,0.8294,0.7804,124,0.8714,0.7804,0.8714
bookmia.07.28,casino_royale,0.5209,0.7763,0.459,0.814,0.8974,59,254,0.814,137,0.8923,0.814,0.8923,0.814,137,0.8923,0.814,0.8923,0.814,175,0.8974,0.814,0.8974,0.814,175,0.8974,0.814,0.8974
bookmia.07.29,casino_royale,0.1866,0.3548,0.4385,0.7512,0.8257,0,238,0.3349,33,0.5149,0.3349,0.5149,0.6986,84,0.7796,0.6986,0.7796,0.4737,84,0.5829,0.7464,0.8097,0.7512,84,0.8226,0.7512,0.8257
bookmia.07.30,casino_royale,0.3713,0.478,0.1658,0.5347,0.6501,0,231,0.1782,36,0.2872,0.1782,0.2872,0.1782,36,0.3471,0.1782,0.3869,0.4851,60,0.6108,0.4851,0.6108,0.5347,72,0.6501,0.5347,0.6501
bookmia.07.31,casino_royale,0.733,0.8287,0.6096,0.767,0.8626,0,240,0.7573,43,0.8352,0.7573,0.8352,0.7573,156,0.8595,0.7573,0.8595,0.7573,156,0.8595,0.7621,0.8595,0.7573,156,0.8595,0.767,0.8626
bookmia.07.32,casino_royale,0.5385,0.6559,0.6203,0.7837,0.8763,0,235,0.4519,94,0.5898,0.4519,0.5898,0.7692,160,0.8696,0.7692,0.8696,0.7692,160,0.8696,0.7837,0.8763,0.7692,160,0.8696,0.7837,0.8763
bookmia.07.37,casino_royale,0.3821,0.538,0.5241,0.7547,0.8518,0,234,0.7358,156,0.8478,0.7358,0.8478,0.7358,156,0.8478,0.7358,0.8478,0.7358,156,0.8478,0.7547,0.8518,0.7358,156,0.8478,0.7547,0.8518
bookmia.07.40,casino_royale,0.6495,0.7733,0.2005,0.7887,0.8728,0,120,0.2474,48,0.3826,0.2474,0.3826,0.2268,44,0.3588,0.2474,0.3892,0.7835,57,0.8555,0.7835,0.8563,0.7835,103,0.8728,0.7887,0.8728
bookmia.07.41,casino_royale,0.699,0.7914,0.6033,0.7961,0.8817,0,246,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7864,0.878,0.7864,162,0.878,0.7913,0.8804,0.7864,162,0.878,0.7961,0.8817
bookmia.07.43,casino_royale,0.8307,0.9017,0.575,0.836,0.9075,74,248,0.5397,102,0.6514,0.5397,0.6514,0.8201,124,0.8986,0.8201,0.8986,0.8307,157,0.9075,0.8307,0.9075,0.8307,157,0.9075,0.836,0.9075
bookmia.07.44,casino_royale,0.2714,0.419,0.5393,0.8,0.8747,1,239,0.2524,50,0.372,0.2524,0.372,0.7857,100,0.8693,0.7857,0.8693,0.7762,128,0.8717,0.7952,0.8747,0.7667,161,0.8679,0.8,0.8747
bookmia.07.47,casino_royale,0.2132,0.4103,0.5835,0.7513,0.858,0,234,0.7259,143,0.8348,0.7259,0.8348,0.7259,143,0.8314,0.7411,0.8406,0.7462,147,0.8522,0.7462,0.858,0.7462,147,0.8522,0.7513,0.858
bookmia.07.49,casino_royale,0.0,0.2427,0.2824,0.8182,0.8789,4,247,0.2344,25,0.4456,0.2344,0.4456,0.3158,42,0.4762,0.3158,0.4762,0.7895,95,0.8677,0.8038,0.8707,0.8038,103,0.8737,0.8182,0.8789
bookmia.07.53,casino_royale,0.3019,0.4562,0.6464,0.7547,0.8571,0,253,0.3962,84,0.6113,0.3962,0.6113,0.75,159,0.8548,0.75,0.8548,0.75,159,0.8548,0.7547,0.8571,0.75,159,0.8548,0.7547,0.8571
bookmia.07.54,casino_royale,0.7854,0.8798,0.6312,0.7945,0.8798,0,226,0.79,159,0.8747,0.79,0.8747,0.7854,166,0.8747,0.79,0.8747,0.7854,172,0.8798,0.79,0.8798,0.7854,172,0.8798,0.7945,0.8798
bookmia.07.55,casino_royale,0.3235,0.4382,0.1396,0.7843,0.8602,0,84,0.0,11,0.1719,0.0,0.1719,0.402,82,0.622,0.402,0.622,0.4608,94,0.5651,0.5539,0.6596,0.7843,94,0.8602,0.7843,0.8602
bookmia.07.56,casino_royale,0.6965,0.8209,0.7562,0.806,0.8926,170,254,0.6866,138,0.7944,0.6866,0.7944,0.801,161,0.8895,0.801,0.8895,0.801,161,0.8895,0.801,0.8926,0.796,160,0.8864,0.806,0.8926
bookmia.07.57,casino_royale,0.0,0.1662,0.3835,0.7729,0.8641,0,155,0.0,3,0.1907,0.0,0.1907,0.6812,83,0.8011,0.7101,0.8162,0.7681,96,0.8634,0.7681,0.8634,0.7681,96,0.8634,0.7729,0.8641
bookmia.07.59,casino_royale,0.7828,0.8715,0.2563,0.7964,0.8844,0,205,0.3801,33,0.5441,0.3801,0.5441,0.7828,97,0.8665,0.7828,0.8665,0.7828,141,0.8766,0.7919,0.8816,0.7964,176,0.8844,0.7964,0.8844
bookmia.07.61,casino_royale,0.0,0.1453,0.5197,0.7861,0.8771,0,226,0.5423,109,0.6724,0.5423,0.6724,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7811,0.8771,0.7811,157,0.8771,0.7861,0.8771
bookmia.07.62,casino_royale,0.481,0.6576,0.3421,0.7476,0.8378,0,248,0.4857,78,0.6133,0.4857,0.6133,0.6952,65,0.8,0.6952,0.8,0.6667,44,0.7493,0.6952,0.8,0.7476,63,0.8378,0.7476,0.8378
bookmia.07.63,casino_royale,0.5707,0.6856,0.6413,0.8182,0.8975,131,227,0.8182,92,0.892,0.8182,0.892,0.8182,92,0.892,0.8182,0.892,0.8182,162,0.8975,0.8182,0.8975,0.8182,162,0.8975,0.8182,0.8975
bookmia.07.66,casino_royale,0.277,0.4182,0.5955,0.7887,0.8789,0,252,0.2488,50,0.342,0.2488,0.342,0.784,167,0.8789,0.784,0.8789,0.784,167,0.8789,0.7887,0.8789,0.784,167,0.8789,0.7887,0.8789
bookmia.07.70,casino_royale,0.5816,0.7278,0.3564,0.7908,0.8832,0,253,0.2398,47,0.3513,0.2398,0.3513,0.6735,128,0.7657,0.6735,0.7657,0.7908,155,0.8832,0.7908,0.8832,0.7908,155,0.8832,0.7908,0.8832
bookmia.07.72,casino_royale,0.7704,0.8621,0.1986,0.7347,0.8103,0,218,0.0,12,0.1926,0.0,0.1926,0.2041,40,0.3125,0.2041,0.3242,0.7347,60,0.8103,0.7347,0.8103,0.7347,60,0.8103,0.7347,0.8103
bookmia.07.73,casino_royale,0.8107,0.8901,0.5331,0.8155,0.896,81,253,0.3932,81,0.5,0.3932,0.5,0.3932,81,0.5215,0.3932,0.5215,0.8107,167,0.8954,0.8155,0.896,0.8107,167,0.8954,0.8155,0.896
bookmia.07.77,casino_royale,0.0,0.1364,0.1217,0.7767,0.8743,0,247,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743,0.7767,160,0.8743,0.7767,0.8743
bookmia.07.80,casino_royale,0.7756,0.8736,0.6886,0.7854,0.8736,0,238,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7756,0.8736,0.7756,159,0.8736,0.7805,0.8736,0.7756,159,0.8736,0.7854,0.8736
