prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.59,a_game_of_thrones,0.0986,0.2382,0.6515,0.6901,0.8167,0,253,0.3286,70,0.4738,0.3286,0.4738,0.6901,147,0.8167,0.6901,0.8167,0.6901,147,0.8167,0.6901,0.8167,0.6901,147,0.8167,0.6901,0.8167
bookmia.01.60,a_game_of_thrones,0.1106,0.234,0.5903,0.6587,0.7884,0,256,0.6538,136,0.7884,0.6538,0.7884,0.6538,136,0.7884,0.6538,0.7884,0.6538,136,0.7884,0.6587,0.7884,0.1779,37,0.302,0.6587,0.7884
bookmia.01.62,a_game_of_thrones,0.7606,0.864,0.6865,0.7287,0.8431,0,252,0.7287,137,0.8431,0.7287,0.8431,0.7287,137,0.8431,0.7287,0.8431,0.7287,137,0.8431,0.7287,0.8431,0.7287,137,0.8431,0.7287,0.8431
bookmia.01.69,a_game_of_thrones,0.7562,0.8555,0.714,0.7313,0.8448,0,253,0.7313,122,0.8391,0.7313,0.8391,0.7313,147,0.8448,0.7313,0.8448,0.7313,147,0.8448,0.7313,0.8448,0.7164,102,0.8357,0.7313,0.8448
bookmia.01.71,a_game_of_thrones,0.7393,0.8257,0.6789,0.7156,0.8343,0,253,0.7156,151,0.8343,0.7156,0.8343,0.7156,151,0.8343,0.7156,0.8343,0.7156,151,0.8343,0.7156,0.8343,0.7156,151,0.8343,0.7156,0.8343
bookmia.01.73,a_game_of_thrones,0.1925,0.3271,0.6916,0.7089,0.8297,0,256,0.7042,150,0.8242,0.7042,0.8242,0.7042,150,0.8242,0.7042,0.8242,0.7042,150,0.8242,0.7089,0.8242,0.7042,150,0.8242,0.7089,0.8297
bookmia.01.74,a_game_of_thrones,0.0,0.1471,0.7212,0.7577,0.8622,0,254,0.7577,147,0.8622,0.7577,0.8622,0.7577,147,0.8622,0.7577,0.8622,0.7577,147,0.8622,0.7577,0.8622,0.7577,147,0.8622,0.7577,0.8622
bookmia.01.75,a_game_of_thrones,0.0,0.1637,0.726,0.7421,0.852,0,254,0.7421,141,0.852,0.7421,0.852,0.7421,141,0.852,0.7421,0.852,0.7421,141,0.852,0.7421,0.852,0.7421,141,0.852,0.7421,0.852
bookmia.01.76,a_game_of_thrones,0.0,0.1859,0.7175,0.7487,0.853,0,254,0.7437,148,0.853,0.7437,0.853,0.7437,148,0.853,0.7437,0.853,0.7437,148,0.853,0.7437,0.853,0.7437,148,0.853,0.7487,0.853
bookmia.01.77,a_game_of_thrones,0.4739,0.5956,0.64,0.6635,0.7977,0,254,0.6635,140,0.7977,0.6635,0.7977,0.6635,140,0.7977,0.6635,0.7977,0.6635,140,0.7977,0.6635,0.7977,0.6635,140,0.7977,0.6635,0.7977
bookmia.01.78,a_game_of_thrones,0.768,0.8688,0.7309,0.7474,0.8555,0,256,0.7474,145,0.8555,0.7474,0.8555,0.7474,145,0.8555,0.7474,0.8555,0.7474,145,0.8555,0.7474,0.8555,0.7474,145,0.8555,0.7474,0.8555
bookmia.01.79,a_game_of_thrones,0.2339,0.4252,0.6755,0.6789,0.8065,0,256,0.6789,148,0.8065,0.6789,0.8065,0.6789,148,0.8065,0.6789,0.8065,0.6789,148,0.8065,0.6789,0.8065,0.6789,148,0.8065,0.6789,0.8065
bookmia.01.81,a_game_of_thrones,0.6127,0.7654,0.7057,0.7304,0.8409,0,255,0.7255,148,0.8409,0.7255,0.8409,0.7255,148,0.8409,0.7255,0.8409,0.7255,148,0.8409,0.7255,0.8409,0.7255,148,0.8409,0.7304,0.8409
bookmia.01.82,a_game_of_thrones,0.3636,0.469,0.7563,0.7703,0.8679,0,256,0.7703,161,0.8679,0.7703,0.8679,0.7703,161,0.8679,0.7703,0.8679,0.7703,161,0.8679,0.7703,0.8679,0.7703,161,0.8679,0.7703,0.8679
bookmia.01.83,a_game_of_thrones,0.5522,0.7099,0.0,0.0,0.1854,0,0,0.0,2,0.1246,0.0,0.1246,0.0,2,0.1484,0.0,0.1496,0.0,2,0.098,0.0,0.1662,0.0,2,0.129,0.0,0.1854
bookmia.01.87,a_game_of_thrones,0.2991,0.462,0.3799,0.6729,0.7967,0,251,0.2757,37,0.3866,0.2757,0.3866,0.4252,53,0.5845,0.4252,0.5892,0.6729,106,0.7967,0.6729,0.7967,0.6729,106,0.7967,0.6729,0.7967
bookmia.01.88,a_game_of_thrones,0.0,0.1538,0.711,0.7231,0.8393,0,256,0.7231,141,0.8393,0.7231,0.8393,0.7231,141,0.8393,0.7231,0.8393,0.7231,141,0.8393,0.7231,0.8393,0.7231,141,0.8393,0.7231,0.8393
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.6741,0.6927,0.8184,0,254,0.6878,141,0.8127,0.6878,0.8127,0.6927,142,0.8184,0.6927,0.8184,0.6927,142,0.8184,0.6927,0.8184,0.6927,142,0.8184,0.6927,0.8184
bookmia.01.90,a_game_of_thrones,0.7876,0.8653,0.727,0.7824,0.8818,0,253,0.7824,151,0.8754,0.7824,0.8754,0.7824,151,0.8754,0.7824,0.8754,0.7824,151,0.8754,0.7824,0.8754,0.7824,151,0.8754,0.7824,0.8818
bookmia.01.97,a_game_of_thrones,0.0,0.1864,0.6939,0.7143,0.8333,0,256,0.7143,135,0.8333,0.7143,0.8333,0.7143,135,0.8333,0.7143,0.8333,0.7143,135,0.8333,0.7143,0.8333,0.7143,135,0.8333,0.7143,0.8333
bookmia.07.02,casino_royale,0.8177,0.8997,0.802,0.8128,0.8967,250,254,0.8128,165,0.8967,0.8128,0.8967,0.8128,165,0.8967,0.8128,0.8967,0.8128,165,0.8967,0.8128,0.8967,0.8128,165,0.8967,0.8128,0.8967
bookmia.07.03,casino_royale,0.5735,0.6898,0.7364,0.7536,0.8564,0,256,0.7488,158,0.8564,0.7488,0.8564,0.7488,158,0.8564,0.7488,0.8564,0.7488,158,0.8564,0.7536,0.8564,0.7488,158,0.8564,0.7536,0.8564
bookmia.07.04,casino_royale,0.1132,0.2381,0.7284,0.7453,0.8509,0,256,0.7406,157,0.8509,0.7406,0.8509,0.7406,157,0.8509,0.7406,0.8509,0.7406,157,0.8509,0.7406,0.8509,0.7406,157,0.8509,0.7453,0.8509
bookmia.07.05,casino_royale,0.7368,0.8352,0.6851,0.6986,0.8225,0,256,0.6986,146,0.8225,0.6986,0.8225,0.6986,146,0.8225,0.6986,0.8225,0.6986,146,0.8225,0.6986,0.8225,0.6986,146,0.8225,0.6986,0.8225
bookmia.07.06,casino_royale,0.7436,0.8612,0.7379,0.8051,0.892,227,239,0.8051,157,0.892,0.8051,0.892,0.8051,157,0.892,0.8051,0.892,0.8051,157,0.892,0.8051,0.892,0.8051,157,0.892,0.8051,0.892
bookmia.07.07,casino_royale,0.0,0.1463,0.729,0.7546,0.8602,0,252,0.7546,163,0.8602,0.7546,0.8602,0.7546,163,0.8602,0.7546,0.8602,0.7546,163,0.8602,0.7546,0.8602,0.7546,163,0.8602,0.7546,0.8602
bookmia.07.08,casino_royale,0.4541,0.5754,0.6699,0.7053,0.8272,0,254,0.7053,146,0.8272,0.7053,0.8272,0.7053,146,0.8272,0.7053,0.8272,0.7053,146,0.8272,0.7053,0.8272,0.7053,146,0.8272,0.7053,0.8272
bookmia.07.09,casino_royale,0.7799,0.8763,0.1778,0.7081,0.8291,0,66,0.0,13,0.1875,0.0,0.1875,0.7081,148,0.8291,0.7081,0.8291,0.7081,148,0.8291,0.7081,0.8291,0.7081,148,0.8291,0.7081,0.8291
bookmia.07.15,casino_royale,0.7897,0.8825,0.2585,0.771,0.8707,0,254,0.1636,35,0.3093,0.1636,0.3093,0.771,165,0.8707,0.771,0.8707,0.771,165,0.8707,0.771,0.8707,0.771,165,0.8707,0.771,0.8707
bookmia.07.16,casino_royale,0.6465,0.7387,0.7781,0.8186,0.9003,236,255,0.8186,176,0.9003,0.8186,0.9003,0.8186,176,0.9003,0.8186,0.9003,0.8186,176,0.9003,0.8186,0.9003,0.8186,176,0.9003,0.8186,0.9003
bookmia.07.17,casino_royale,0.203,0.3362,0.736,0.7574,0.862,0,255,0.7574,153,0.862,0.7574,0.862,0.7574,153,0.862,0.7574,0.862,0.7574,153,0.862,0.7574,0.862,0.7574,153,0.862,0.7574,0.862
bookmia.07.20,casino_royale,0.3991,0.5319,0.7077,0.7371,0.8455,0,254,0.7324,156,0.8455,0.7324,0.8455,0.7324,156,0.8455,0.7324,0.8455,0.7324,156,0.8455,0.7371,0.8455,0.7324,156,0.8455,0.7371,0.8455
bookmia.07.24,casino_royale,0.5492,0.6328,0.6954,0.8083,0.8883,189,256,0.8031,155,0.8883,0.8031,0.8883,0.8031,155,0.8883,0.8031,0.8883,0.8031,155,0.8883,0.8083,0.8883,0.8031,155,0.8883,0.8083,0.8883
bookmia.07.25,casino_royale,0.743,0.8525,0.7326,0.757,0.8617,0,252,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617,0.757,162,0.8617,0.757,0.8617
bookmia.07.26,casino_royale,0.2009,0.3483,0.7228,0.7523,0.8533,0,256,0.743,159,0.8525,0.743,0.8525,0.743,159,0.8525,0.743,0.8525,0.743,159,0.8525,0.743,0.8525,0.743,159,0.8525,0.7523,0.8533
bookmia.07.28,casino_royale,0.5209,0.7763,0.7719,0.7907,0.8831,0,254,0.7907,170,0.8831,0.7907,0.8831,0.7907,170,0.8831,0.7907,0.8831,0.7907,170,0.8831,0.7907,0.8831,0.7907,170,0.8831,0.7907,0.8831
bookmia.07.29,casino_royale,0.1866,0.3548,0.7225,0.756,0.8587,0,253,0.756,158,0.8587,0.756,0.8587,0.756,158,0.8587,0.756,0.8587,0.756,158,0.8587,0.756,0.8587,0.756,158,0.8587,0.756,0.8587
