prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.01.49,a_game_of_thrones,327,10.113,695.66,2.1274,2.4115,13.042,5.496,11.5851,10.7447,0,0,0.0,0.2263,70,0.0,0,0,0.0,0.3731,34,0.0,0,0,0.0,0.5076,11,0.0,0,0,0.9878,0.9878,4,0.0,0,0,0.9878,0.9878,4,0.0,0,0,0.9969,0.9969,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.51,a_game_of_thrones,301,8.603,689.98,2.2923,2.3714,11.766,5.564,11.0336,10.0973,0,0,0.0,0.1794,60,0.0,0,0,0.0,0.3223,18,0.0,0,0,0.0,0.4817,9,0.0,0,0,0.9834,0.9834,5,0.0,0,0,0.99,0.99,3,0.0,0,0,0.9967,0.9967,1,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.52,a_game_of_thrones,319,8.119,695.92,2.1816,2.5525,14.452,5.967,16.8547,15.288,0,0,0.0,0.2006,64,0.0,0,0,0.0,0.3574,19,0.0,0,0,0.1066,0.5705,9,0.0,0,0,0.9875,0.9875,4,0.0,0,0,0.9969,0.9969,1,0.0,0,0,0.9969,0.9969,1,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.58,a_game_of_thrones,274,10.284,603.65,2.2031,2.2909,11.407,5.698,11.5494,10.7297,0,0,0.0,0.1715,74,0.0,0,0,0.0,0.3102,27,0.0,0,0,0.0,0.4745,14,0.0,0,0,0.9745,0.9781,4,0.0,0,0,0.9781,0.9854,3,0.0,0,0,0.9964,0.9964,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.59,a_game_of_thrones,324,8.064,807.73,2.493,2.8412,14.954,6.637,14.3397,13.019,0,0,0.0,0.2191,53,0.0,0,0,0.0,0.3642,16,0.0,0,0,0.0,0.5216,9,0.0,0,0,0.966,0.9784,4,0.0,0,0,0.9753,0.9877,3,0.0,0,0,0.9969,0.9969,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.60,a_game_of_thrones,323,8.877,848.96,2.6284,2.8697,16.883,6.609,10.692,9.8173,0,0,0.0,0.1703,59,0.0,0,0,0.0,0.3003,21,0.0,0,0,0.0,0.483,13,0.0,0,0,0.7585,0.9443,4,0.0,0,0,0.9907,0.9907,3,0.0,0,1,0.9969,0.9969,1,0.7033,1,1,1.0,1.0,0,0.7033
bookmia.01.62,a_game_of_thrones,312,9.134,728.88,2.3362,2.6039,14.832,5.963,9.6272,8.8847,0,0,0.0,0.2276,62,0.0,0,0,0.0,0.3333,28,0.0,0,0,0.0,0.4936,10,0.0,0,0,0.9199,0.9808,3,0.0,0,0,0.9936,0.9936,2,0.6649,1,1,1.0,1.0,0,0.6649,1,1,1.0,1.0,0,0.6649
bookmia.01.69,a_game_of_thrones,296,8.184,801.91,2.7092,2.7758,14.917,6.886,13.1253,11.938,0,0,0.0,0.1419,57,0.0,0,0,0.0,0.2736,17,0.0,0,0,0.0,0.4324,14,0.0,0,0,0.8649,0.9764,3,0.0,0,0,0.9932,0.9932,2,0.0,0,0,0.9966,0.9966,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.71,a_game_of_thrones,324,8.416,773.55,2.3875,2.7825,16.261,6.639,20.4623,18.5645,0,0,0.0,0.216,57,0.0,0,0,0.0,0.358,18,0.0,0,0,0.0,0.5123,9,0.0,0,0,0.9228,0.9846,3,0.0,0,0,0.9907,0.9907,3,0.0,0,0,0.9969,0.9969,1,0.0,0,1,0.9969,0.9969,1,1.0
bookmia.01.73,a_game_of_thrones,300,9.368,739.25,2.4642,2.5294,12.959,6.309,14.3438,13.153,0,0,0.0,0.13,70,0.0,0,0,0.0,0.26,19,0.0,0,0,0.0,0.44,11,0.0,0,0,0.9633,0.9767,3,0.0,0,0,0.9933,0.9933,2,0.0,0,0,0.9967,0.9967,1,1.0,1,1,1.0,1.0,0,1.0
