prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.88,a_game_of_thrones,0.7385,0.8304,0.3422,0.3744,0.5448,0,252,0.3744,73,0.5448,0.3744,0.5448,0.3744,73,0.5448,0.3744,0.5448,0.3744,73,0.5448,0.3744,0.5448,0.3744,73,0.5448,0.3744,0.5448
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.2947,0.3463,0.5126,0,228,0.3463,71,0.5126,0.3463,0.5126,0.3463,71,0.5126,0.3463,0.5126,0.3463,71,0.5126,0.3463,0.5126,0.3463,71,0.5126,0.3463,0.5126
bookmia.01.90,a_game_of_thrones,0.3782,0.4928,0.331,0.4145,0.5861,0,244,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861,0.4145,80,0.5861,0.4145,0.5861
bookmia.01.97,a_game_of_thrones,0.0,0.1637,0.0006,0.1534,0.2814,0,1,0.0,5,0.1231,0.0,0.1231,0.0,5,0.1805,0.0,0.1805,0.0,5,0.1264,0.0,0.1933,0.1534,29,0.2814,0.1534,0.2814
bookmia.07.02,casino_royale,0.803,0.8835,0.1827,0.3645,0.5343,0,250,0.202,38,0.3416,0.202,0.3416,0.202,38,0.3571,0.202,0.3571,0.202,38,0.35,0.202,0.3746,0.3645,74,0.5343,0.3645,0.5343
bookmia.07.03,casino_royale,0.5735,0.7166,0.2145,0.3412,0.5088,0,210,0.3412,72,0.5088,0.3412,0.5088,0.3412,72,0.5088,0.3412,0.5088,0.3412,72,0.5088,0.3412,0.5088,0.3412,72,0.5088,0.3412,0.5088
bookmia.07.04,casino_royale,0.684,0.8511,0.2979,0.3396,0.507,0,251,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507
bookmia.07.05,casino_royale,0.0,0.1703,0.295,0.3493,0.5159,0,256,0.2488,52,0.4196,0.2488,0.4196,0.3493,73,0.5159,0.3493,0.5159,0.3493,73,0.5159,0.3493,0.5159,0.3493,73,0.5159,0.3493,0.5159
bookmia.07.06,casino_royale,0.8154,0.8983,0.3772,0.3897,0.5609,0,251,0.3897,76,0.5609,0.3897,0.5609,0.3897,76,0.5609,0.3897,0.5609,0.3897,70,0.5535,0.3897,0.5609,0.3897,70,0.5535,0.3897,0.5609
bookmia.07.07,casino_royale,0.1435,0.2821,0.187,0.3241,0.4948,0,231,0.1528,33,0.2937,0.1528,0.2937,0.3241,70,0.4948,0.3241,0.4948,0.3241,70,0.4948,0.3241,0.4948,0.3241,70,0.4948,0.3241,0.4948
bookmia.07.08,casino_royale,0.0,0.1939,0.003,0.1932,0.3513,0,4,0.0,2,0.1042,0.0,0.1042,0.0,2,0.106,0.0,0.1418,0.1932,40,0.3453,0.1932,0.3453,0.1932,40,0.3513,0.1932,0.3513
bookmia.07.09,casino_royale,0.7799,0.8763,0.222,0.3541,0.523,0,222,0.3541,74,0.523,0.3541,0.523,0.3541,74,0.523,0.3541,0.523,0.3541,74,0.523,0.3541,0.523,0.3541,74,0.523,0.3541,0.523
bookmia.07.15,casino_royale,0.7897,0.8773,0.3327,0.3505,0.519,0,256,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519
bookmia.07.16,casino_royale,0.7767,0.852,0.0402,0.3953,0.5667,0,26,0.0,8,0.1361,0.0,0.1361,0.3953,85,0.5667,0.3953,0.5667,0.3953,85,0.5667,0.3953,0.5667,0.3953,85,0.5667,0.3953,0.5667
bookmia.07.17,casino_royale,0.302,0.4011,0.2494,0.3861,0.5571,0,213,0.1931,39,0.3392,0.1931,0.3392,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571
bookmia.07.20,casino_royale,0.5681,0.7278,0.3089,0.3427,0.5105,0,253,0.2817,60,0.4685,0.2817,0.4685,0.3427,73,0.5105,0.3427,0.5105,0.3427,62,0.5035,0.3427,0.5105,0.3427,62,0.5035,0.3427,0.5105
bookmia.07.24,casino_royale,0.5959,0.7003,0.2676,0.3731,0.5414,0,254,0.3109,53,0.4741,0.3109,0.4741,0.3731,72,0.5414,0.3731,0.5414,0.3731,72,0.5414,0.3731,0.5414,0.3731,72,0.5414,0.3731,0.5414
bookmia.07.25,casino_royale,0.743,0.8525,0.1559,0.3411,0.5087,0,130,0.0,17,0.2007,0.0,0.2007,0.3411,73,0.5087,0.3411,0.5087,0.3411,73,0.5087,0.3411,0.5087,0.3411,73,0.5087,0.3411,0.5087
bookmia.07.26,casino_royale,0.2009,0.3499,0.1242,0.3364,0.5035,0,125,0.1028,22,0.2667,0.1028,0.2667,0.3364,72,0.5035,0.3364,0.5035,0.3364,72,0.5035,0.3364,0.5035,0.3364,72,0.5035,0.3364,0.5035
bookmia.07.28,casino_royale,0.493,0.6412,0.1868,0.3581,0.5274,0,231,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274
bookmia.07.29,casino_royale,0.1866,0.3539,0.0856,0.378,0.5536,0,68,0.0,16,0.2329,0.0,0.2329,0.0,16,0.2381,0.0,0.2594,0.378,79,0.5467,0.378,0.5467,0.3732,78,0.5536,0.378,0.5536
