prompt_id,n_aliases,s_anchor_nats,s_risky_nats,s_perm_nats
tqa_0349,12,2.501278,0.030582,21.838257
tqa_0350,2,12.461273,0.019128,42.576138
tqa_0351,2,18.778008,1.491753,32.705872
tqa_0352,19,30.259865,9.103027,33.179863
tqa_0353,2,6.662747,0.001568,8.363564
tqa_0354,3,2.194030,2.655087,30.920868
tqa_0355,3,5.389553,1.655264,8.422353
tqa_0356,39,4.133151,4.342593,23.902618
tqa_0357,26,1.741200,0.000277,23.332239
tqa_0358,3,9.023693,4.981695,29.396147
tqa_0359,3,6.349919,1.904981,14.213247
tqa_0360,6,8.556856,0.925675,17.492731
tqa_0361,32,0.176962,0.002397,37.898972
tqa_0362,3,5.227226,0.000086,14.679242
tqa_0363,4,4.742330,0.024110,13.813373
tqa_0364,5,0.676241,0.000928,39.521336
tqa_0365,5,10.263352,0.021344,24.745491
tqa_0366,3,19.141418,3.617699,21.274759
tqa_0367,27,2.928370,0.206528,13.887368
tqa_0368,67,3.195354,0.018885,16.717716
tqa_0369,5,7.724118,9.993708,13.317604
tqa_0370,6,5.061171,6.317555,18.676371
tqa_0371,4,7.403743,0.074759,17.584463
tqa_0372,5,14.961885,0.124892,36.334122
tqa_0373,5,16.866941,6.526496,19.968891
tqa_0374,7,6.463027,1.255277,2.551906
tqa_0375,20,5.991517,3.692927,23.072807
tqa_0376,2,6.417433,1.404570,25.568619
tqa_0377,10,0.401541,0.055657,12.568629
tqa_0378,27,1.654550,0.019439,35.588455
tqa_0379,3,26.358997,10.144245,18.484016
tqa_0380,4,5.044906,0.549592,17.209724
tqa_0381,15,1.747199,0.219874,29.486595
tqa_0382,2,13.142314,15.762811,17.401451
tqa_0383,2,10.532602,3.445215,23.169430
tqa_0384,3,6.115456,0.027968,28.720306
tqa_0385,3,19.023376,24.376400,14.033281
tqa_0386,15,6.463212,0.000706,20.390974
tqa_0387,9,1.730934,1.833759,34.033691
tqa_0388,8,14.134676,6.417355,13.879506
tqa_0389,23,8.153791,0.447433,16.489782
tqa_0390,31,1.197054,0.178543,32.950638
tqa_0391,19,6.081376,0.002590,10.420064
tqa_0392,19,1.451501,0.036971,24.542561
tqa_0393,13,8.868196,3.833920,20.213413
tqa_0394,13,4.742103,0.094624,18.685329
tqa_0395,3,3.509526,0.000364,23.841917
tqa_0396,61,0.415660,0.231817,39.436302
tqa_0397,5,7.290096,0.004959,16.799492
tqa_0398,3,12.348290,0.008516,20.465839
tqa_0399,2,10.418257,0.004720,26.479092
tqa_0400,16,8.283003,4.178757,16.339205
tqa_0401,24,1.670578,0.157053,28.177879
tqa_0402,15,6.641945,1.206199,12.514980
tqa_0403,8,7.296289,11.616956,13.248357
tqa_0404,7,8.026226,0.001443,6.671634
tqa_0405,6,0.375680,0.044286,39.836933
tqa_0406,2,1.571491,0.031194,38.962311
tqa_0407,5,7.471655,0.879624,18.920389
tqa_0408,6,17.754948,4.066861,19.252058
tqa_0409,17,0.357277,1.130638,39.759476
tqa_0410,4,24.981939,0.367019,21.468426
tqa_0411,8,2.268504,0.735041,11.797834
tqa_0412,2,2.435166,6.999815,25.273764
tqa_0413,16,4.324770,0.765153,5.302166
tqa_0414,13,0.448838,0.001260,28.099384
tqa_0415,15,5.791228,4.704564,10.583797
tqa_0416,6,10.971265,6.401426,21.620634
tqa_0417,2,1.337269,0.000996,31.453384
tqa_0418,9,6.306965,1.209937,13.777056
tqa_0419,4,12.674909,3.305879,26.745186
tqa_0420,5,8.779525,2.497381,24.537928
tqa_0421,13,7.306823,2.318385,22.806656
tqa_0422,7,9.357896,0.010009,19.522064
tqa_0423,4,7.550669,10.011852,9.742378
tqa_0424,14,1.592076,0.192946,29.382025
tqa_0425,15,9.441785,0.381259,12.493156
tqa_0426,3,5.534176,0.018235,26.236790
tqa_0427,10,8.389218,0.841971,15.844493
tqa_0428,3,11.646137,0.006889,13.872763
tqa_0429,5,8.225926,0.002882,5.182004
tqa_0430,17,5.492622,0.000589,12.858778
tqa_0431,4,5.469518,0.001111,16.215485
tqa_0432,7,8.034047,0.019775,23.616062
tqa_0433,7,12.552281,1.325344,12.996592
tqa_0434,3,11.599199,9.297255,31.367260
tqa_0435,10,4.494844,2.402767,33.026161
tqa_0436,8,11.508171,8.547210,10.728447
tqa_0437,9,7.013196,1.115453,11.658480
tqa_0438,4,16.621332,2.084940,13.577272
tqa_0439,3,8.725039,5.073023,15.566191
tqa_0440,6,5.071168,1.501182,16.973680
tqa_0441,2,4.126904,1.791747,33.471790
tqa_0442,6,13.736982,4.711142,27.957283
tqa_0443,2,7.038273,9.050576,15.085369
tqa_0444,4,0.015507,0.030245,42.661953
tqa_0445,7,14.470716,4.720672,32.888306
tqa_0446,2,0.958484,1.536986,31.416565
tqa_0447,69,18.963194,0.138492,28.411240
tqa_0448,3,17.900467,4.317510,12.623253
tqa_0449,6,8.640525,0.000551,10.405615
tqa_0450,3,6.902699,0.191194,23.017086
tqa_0451,6,11.020276,4.352588,6.954803
tqa_0452,21,4.756922,0.002326,20.447088
tqa_0453,28,4.878532,0.000840,23.468220
tqa_0454,9,6.560001,0.001015,5.310337
tqa_0455,6,5.660320,0.027497,17.867586
tqa_0456,42,0.071186,0.001396,10.529209
tqa_0457,10,0.999523,0.000829,36.354515
tqa_0458,9,11.863617,0.000825,20.645144
tqa_0459,21,1.218842,0.693480,27.231834
tqa_0460,118,2.136301,0.743446,28.129148
tqa_0461,10,16.311543,14.717912,31.553864
tqa_0462,8,21.405560,8.289946,27.025570
tqa_0463,7,22.550503,8.253403,16.307217
tqa_0464,19,14.812492,0.000819,30.381969
tqa_0465,15,8.697681,4.079488,32.681526
tqa_0466,12,16.765583,6.249062,11.761250
tqa_0467,2,5.820916,0.001370,30.562483
tqa_0468,15,10.764694,1.124848,14.077514
tqa_0469,5,5.970229,0.046977,9.589047
tqa_0470,10,2.900486,0.039358,13.835508
tqa_0471,6,9.736588,0.044030,17.128340
tqa_0472,7,2.991101,0.021569,27.020557
tqa_0473,4,8.853538,0.927686,14.461232
tqa_0474,22,2.062178,0.000699,31.233828
tqa_0475,13,2.278929,1.920431,23.556625
tqa_0476,32,1.602134,0.459240,11.954264
tqa_0477,6,1.383873,0.648403,31.474480
tqa_0478,3,13.634469,0.054892,6.973993
tqa_0479,9,0.851196,1.474341,20.408171
tqa_0480,7,8.812501,0.051737,14.745977
tqa_0481,8,13.064148,0.019397,19.457531
tqa_0482,11,15.240482,7.477832,26.414536
tqa_0483,5,3.992635,0.473565,21.122612
tqa_0484,42,12.333418,1.096904,12.599654
tqa_0485,6,0.905205,0.096181,23.891401
tqa_0486,2,6.868746,0.093958,11.227474
tqa_0487,4,8.096523,0.010214,15.301264
tqa_0488,3,0.318598,0.131857,9.247908
tqa_0489,9,5.515134,0.001744,10.814609
tqa_0490,8,6.069364,0.077699,7.287206
tqa_0491,5,0.776370,0.252852,31.739668
tqa_0492,3,13.942188,7.854548,19.938992
tqa_0493,46,0.369875,3.175230,30.101233
tqa_0494,11,6.620010,0.109164,13.500248
tqa_0495,6,7.264647,1.762560,13.111774
tqa_0496,4,11.983069,1.797230,15.142109
tqa_0497,9,2.704892,0.003163,17.421783
tqa_0498,13,3.709467,0.882886,29.719706
tqa_0499,3,5.255776,2.332023,32.191807
