pair,alpha,published_k,F,k_matched,nats_per_window,window_factor,log10_factor
Qwen2.5-7B,2.0,1.0,0.8958,2.1585,4.2742,71.8219,1.8563
Qwen2.5-7B,2.0,1.5,0.9427,3.2159,2.0753,7.96684,0.9013
Qwen2.5-7B,2.0,2.0,0.9661,4.1807,0.7125,2.03906,0.3094
Qwen2.5-7B,2.0,2.5,0.9791,5.1515,-0.3378,0.713325,-0.1467
Qwen2.5-7B,2.0,3.0,0.9868,6.0408,-0.7497,0.472497,-0.3256
Qwen2.5-7B,2.0,4.0,0.9944,7.4051,-0.8721,0.418085,-0.3787
Qwen2.5-7B,2.0,5.5,0.9984,9.7343,-0.8251,0.438212,-0.3583
Qwen2.5-7B,2.0,7.5,0.9996,13.2794,-0.4861,0.615036,-0.2111
Qwen2.5-7B,4.0,0.5,0.7811,1.9609,6.537,690.216,2.839
Qwen2.5-7B,4.0,0.75,0.8525,2.8101,2.8165,16.7179,1.2232
Qwen2.5-7B,4.0,1.0,0.8958,3.6074,0.0378,1.03853,0.0164
Qwen2.5-7B,4.0,1.5,0.9427,4.9833,-2.9203,0.0539181,-1.2683
Qwen2.5-7B,4.0,2.0,0.9661,6.1633,-3.8458,0.0213703,-1.6702
Qwen2.5-7B,4.0,2.5,0.9791,7.1258,-3.821,0.0219061,-1.6594
Qwen2.5-7B,4.0,3.0,0.9868,8.0483,-3.4532,0.0316443,-1.4997
Qwen2.5-7B,4.0,4.0,0.9944,9.6341,-2.6333,0.0718433,-1.1436
Qwen2.5-7B,4.0,5.5,0.9984,12.6288,-1.5491,0.212445,-0.6728
Qwen2.5-7B,8.0,0.5,0.7811,2.9864,-2.889,0.0556296,-1.2547
Qwen2.5-7B,8.0,0.75,0.8525,4.0464,-6.7744,0.00114268,-2.9421
Qwen2.5-7B,8.0,1.0,0.8958,5.0211,-8.6883,0.000168543,-3.7733
Qwen2.5-7B,8.0,1.5,0.9427,6.5556,-9.113,0.000110227,-3.9577
Qwen2.5-7B,8.0,2.0,0.9661,7.5486,-8.0969,0.000304493,-3.5164
Qwen2.5-7B,8.0,2.5,0.9791,8.8466,-6.8305,0.0010803,-2.9665
Qwen2.5-7B,8.0,3.0,0.9868,9.6149,-5.5895,0.00373676,-2.4275
Qwen2.5-7B,8.0,4.0,0.9944,11.8076,-3.7577,0.0233377,-1.6319
Qwen2.5-7B,8.0,5.5,0.9984,13.6981,-1.9158,0.147221,-0.832
TinyComma-1.8B,2.0,0.5,0.7047,0.9548,9.8473,18908.1,4.2766
TinyComma-1.8B,2.0,0.75,0.7937,1.445,9.198,9877.78,3.9947
TinyComma-1.8B,2.0,1.0,0.8517,1.9262,8.0026,2988.78,3.4755
TinyComma-1.8B,2.0,1.5,0.9193,2.8737,5.3428,209.105,2.3204
TinyComma-1.8B,2.0,2.0,0.9547,3.8364,2.7339,15.3931,1.1873
TinyComma-1.8B,2.0,2.5,0.9741,4.8681,0.5043,1.65575,0.219
TinyComma-1.8B,2.0,3.0,0.9848,5.6123,-0.4037,0.667835,-0.1753
TinyComma-1.8B,2.0,4.0,0.9945,7.2806,-1.3304,0.26438,-0.5778
TinyComma-1.8B,2.0,5.5,0.9987,9.622,-1.2397,0.289469,-0.5384
TinyComma-1.8B,2.0,7.5,0.9998,13.7341,-0.7599,0.467716,-0.33
TinyComma-1.8B,4.0,0.5,0.7047,1.708,12.5585,284499.0,5.4541
TinyComma-1.8B,4.0,0.75,0.7937,2.5306,7.037,1137.98,3.0561
TinyComma-1.8B,4.0,1.0,0.8517,3.4046,1.6611,5.26519,0.7214
TinyComma-1.8B,4.0,1.5,0.9193,4.9777,-4.6875,0.00920975,-2.0358
TinyComma-1.8B,4.0,2.0,0.9547,6.3784,-6.8942,0.00101365,-2.9941
TinyComma-1.8B,4.0,2.5,0.9741,7.3856,-7.0955,0.000828825,-3.0815
TinyComma-1.8B,4.0,3.0,0.9848,8.6333,-6.462,0.00156169,-2.8064
TinyComma-1.8B,4.0,4.0,0.9945,9.9257,-4.4993,0.0111163,-1.954
TinyComma-1.8B,4.0,5.5,0.9987,13.223,-2.3612,0.0943048,-1.0255
TinyComma-1.8B,8.0,0.5,0.7047,2.927,-2.9857,0.0505031,-1.2967
TinyComma-1.8B,8.0,0.75,0.7937,4.1997,-10.7484,2.14801e-05,-4.668
TinyComma-1.8B,8.0,1.0,0.8517,5.2524,-14.0436,7.96029e-07,-6.0991
TinyComma-1.8B,8.0,1.5,0.9193,6.9843,-14.7353,3.98601e-07,-6.3995
TinyComma-1.8B,8.0,2.0,0.9547,8.4241,-13.0931,2.05939e-06,-5.6863
TinyComma-1.8B,8.0,2.5,0.9741,9.5021,-10.9362,1.7802e-05,-4.7495
TinyComma-1.8B,8.0,3.0,0.9848,10.447,-8.9417,0.000130816,-3.8833
TinyComma-1.8B,8.0,4.0,0.9945,12.9175,-5.606,0.00367585,-2.4346
TinyComma-1.8B,8.0,5.5,0.9987,13.9907,-2.6233,0.0725653,-1.1393
