prompt_id,novel,recall,rouge,words,block_len,n_per_block,blocks,scorer,certificate_whole_nats,certificate_window50_nats,anchor_model,rng_seed,gen_batch,score_batch,scorer_model
bookmia.07.08,casino_royale,0.0,0.1315,158,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.09,casino_royale,0.0,0.155,178,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.15,casino_royale,0.0,0.1775,124,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.16,casino_royale,0.0,0.1641,175,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.17,casino_royale,0.0,0.0496,161,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.20,casino_royale,0.0,0.0925,176,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.24,casino_royale,0.0,0.1333,167,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.25,casino_royale,0.0,0.0071,67,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.26,casino_royale,0.0,0.123,160,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.28,casino_royale,0.0,0.1554,171,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.29,casino_royale,0.0,0.1197,142,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.30,casino_royale,0.0,0.151,182,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.31,casino_royale,0.0,0.1592,171,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.32,casino_royale,0.0,0.1598,155,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.37,casino_royale,0.0,0.1322,151,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.40,casino_royale,0.0,0.1261,155,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.41,casino_royale,0.0,0.1173,135,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.43,casino_royale,0.0,0.1016,126,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.44,casino_royale,0.0,0.1616,186,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.47,casino_royale,0.0,0.1381,165,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
bookmia.07.49,casino_royale,0.0,0.2043,163,10,64,20,memoriser,83.1777,24.9533,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,20260925,256,32,output/memorizing_llama8b
