prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n2,lcs_n2,rouge_n2,oracle_recall_n2,oracle_rouge_n2,recall_n4,lcs_n4,rouge_n4,oracle_recall_n4,oracle_rouge_n4,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n16,lcs_n16,rouge_n16,oracle_recall_n16,oracle_rouge_n16,recall_n32,lcs_n32,rouge_n32,oracle_recall_n32,oracle_rouge_n32,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64
bookmia.07.26,casino_royale,0.2009,0.3499,0.0,0.0,0.1662,0,0,0.0,2,0.1069,0.0,0.1069,0.0,2,0.0805,0.0,0.1069,0.0,2,0.0805,0.0,0.1069,0.0,2,0.1227,0.0,0.1227,0.0,1,0.0866,0.0,0.1404,0.0,1,0.0866,0.0,0.1404,0.0,1,0.0866,0.0,0.1662
bookmia.07.28,casino_royale,0.493,0.6412,0.0,0.0,0.1489,0,0,0.0,2,0.1266,0.0,0.1266,0.0,1,0.0429,0.0,0.1266,0.0,1,0.0429,0.0,0.1266,0.0,2,0.1333,0.0,0.1333,0.0,2,0.0678,0.0,0.139,0.0,2,0.0678,0.0,0.1489,0.0,1,0.0092,0.0,0.1489
bookmia.07.29,casino_royale,0.1866,0.3539,0.0,0.0,0.1602,0,0,0.0,2,0.076,0.0,0.076,0.0,1,0.0181,0.0,0.076,0.0,2,0.0729,0.0,0.076,0.0,2,0.0729,0.0,0.0976,0.0,2,0.0729,0.0,0.1278,0.0,2,0.0729,0.0,0.1354,0.0,2,0.1159,0.0,0.1602
bookmia.07.30,casino_royale,0.1238,0.2278,0.0,0.0,0.1277,0,0,0.0,2,0.1166,0.0,0.1166,0.0,2,0.1166,0.0,0.1166,0.0,1,0.0536,0.0,0.1166,0.0,1,0.0536,0.0,0.1166,0.0,1,0.0536,0.0,0.125,0.0,2,0.0866,0.0,0.125,0.0,2,0.0866,0.0,0.1277
bookmia.07.31,casino_royale,0.1359,0.27,0.0,0.0,0.1769,0,0,0.0,2,0.1473,0.0,0.1473,0.0,2,0.1473,0.0,0.1473,0.0,2,0.1264,0.0,0.1473,0.0,2,0.1264,0.0,0.1473,0.0,2,0.1264,0.0,0.1473,0.0,2,0.1264,0.0,0.1477,0.0,1,0.0924,0.0,0.1769
bookmia.07.32,casino_royale,0.0,0.1644,0.0,0.0,0.124,0,0,0.0,1,0.0094,0.0,0.0094,0.0,1,0.0093,0.0,0.0094,0.0,2,0.0351,0.0,0.0357,0.0,1,0.0093,0.0,0.0524,0.0,2,0.0956,0.0,0.118,0.0,2,0.0541,0.0,0.119,0.0,2,0.0887,0.0,0.124
bookmia.07.37,casino_royale,0.0,0.2043,0.0,0.0,0.1413,0,0,0.0,0,0.0,0.0,0.0,0.0,1,0.1364,0.0,0.1364,0.0,1,0.1364,0.0,0.1364,0.0,1,0.1364,0.0,0.14,0.0,1,0.1364,0.0,0.14,0.0,1,0.0094,0.0,0.14,0.0,1,0.0094,0.0,0.1413
bookmia.07.40,casino_royale,0.7474,0.8324,0.0,0.0,0.1365,0,0,0.0,2,0.1318,0.0,0.1318,0.0,3,0.1365,0.0,0.1365,0.0,3,0.1365,0.0,0.1365,0.0,3,0.1365,0.0,0.1365,0.0,3,0.1365,0.0,0.1365,0.0,3,0.0851,0.0,0.1365,0.0,3,0.1071,0.0,0.1365
bookmia.07.41,casino_royale,0.1019,0.2681,0.0,0.0,0.1433,0,0,0.0,2,0.1326,0.0,0.1326,0.0,2,0.1326,0.0,0.1326,0.0,1,0.1099,0.0,0.1326,0.0,1,0.1099,0.0,0.1326,0.0,1,0.1099,0.0,0.137,0.0,1,0.1099,0.0,0.1433,0.0,1,0.1099,0.0,0.1433
bookmia.07.43,casino_royale,0.7725,0.8406,0.0,0.0,0.1146,0,0,0.0,1,0.0297,0.0,0.0297,0.0,1,0.0569,0.0,0.0569,0.0,1,0.0569,0.0,0.0619,0.0,1,0.0606,0.0,0.1015,0.0,2,0.0784,0.0,0.1146,0.0,1,0.0631,0.0,0.1146,0.0,1,0.0631,0.0,0.1146
bookmia.07.44,casino_royale,0.7048,0.8495,0.0,0.0,0.168,0,0,0.0,1,0.0444,0.0,0.0444,0.0,1,0.0444,0.0,0.0444,0.0,2,0.081,0.0,0.081,0.0,2,0.081,0.0,0.1606,0.0,2,0.1205,0.0,0.168,0.0,2,0.0837,0.0,0.168,0.0,2,0.0837,0.0,0.168
bookmia.07.47,casino_royale,0.4569,0.5665,0.0,0.0,0.1389,0,0,0.0,2,0.1101,0.0,0.1101,0.0,2,0.1101,0.0,0.1101,0.0,2,0.1101,0.0,0.1101,0.0,2,0.0561,0.0,0.1101,0.0,2,0.0561,0.0,0.1238,0.0,2,0.0561,0.0,0.1253,0.0,2,0.0553,0.0,0.1389
bookmia.07.49,casino_royale,0.0,0.2122,0.0,0.0,0.1872,0,0,0.0,1,0.0669,0.0,0.0669,0.0,2,0.0967,0.0,0.0967,0.0,2,0.1219,0.0,0.1219,0.0,2,0.1163,0.0,0.1833,0.0,2,0.1163,0.0,0.1833,0.0,2,0.1163,0.0,0.1852,0.0,2,0.1313,0.0,0.1872
bookmia.07.53,casino_royale,0.75,0.8548,0.0,0.0,0.1939,0,0,0.0,2,0.0902,0.0,0.0902,0.0,2,0.1053,0.0,0.1053,0.0,2,0.1321,0.0,0.1321,0.0,2,0.1194,0.0,0.1321,0.0,1,0.0321,0.0,0.1451,0.0,2,0.1939,0.0,0.1939,0.0,2,0.1939,0.0,0.1939
bookmia.07.54,casino_royale,0.7854,0.8798,0.0,0.0,0.1352,0,0,0.0,0,0.0,0.0,0.0,0.0,2,0.1023,0.0,0.1023,0.0,2,0.1352,0.0,0.1352,0.0,2,0.0492,0.0,0.1352,0.0,2,0.0492,0.0,0.1352,0.0,1,0.0091,0.0,0.1352,0.0,1,0.0091,0.0,0.1352
bookmia.07.55,casino_royale,0.2598,0.3794,0.0,0.0,0.1446,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0681,0.0,2,0.1237,0.0,0.1237,0.0,2,0.1237,0.0,0.1348,0.0,1,0.1053,0.0,0.1348,0.0,1,0.0548,0.0,0.1348,0.0,1,0.136,0.0,0.1446
bookmia.07.56,casino_royale,0.7612,0.8366,0.0,0.0,0.1326,0,0,0.0,2,0.0872,0.0,0.0872,0.0,2,0.0872,0.0,0.0933,0.0,2,0.0872,0.0,0.0955,0.0,1,0.0391,0.0,0.107,0.0,1,0.1016,0.0,0.107,0.0,1,0.1016,0.0,0.127,0.0,1,0.1016,0.0,0.1326
bookmia.07.57,casino_royale,0.7295,0.8229,0.0,0.0,0.1416,0,0,0.0,1,0.0435,0.0,0.0435,0.0,1,0.1243,0.0,0.1243,0.0,2,0.1333,0.0,0.1333,0.0,1,0.0441,0.0,0.1333,0.0,1,0.0952,0.0,0.1333,0.0,1,0.0952,0.0,0.1333,0.0,1,0.0952,0.0,0.1416
bookmia.07.59,casino_royale,0.5837,0.687,0.0,0.0,0.1675,0,0,0.0,2,0.1311,0.0,0.1311,0.0,2,0.087,0.0,0.1311,0.0,2,0.1453,0.0,0.1453,0.0,2,0.1453,0.0,0.1453,0.0,2,0.1453,0.0,0.1453,0.0,2,0.1453,0.0,0.1453,0.0,2,0.1453,0.0,0.1675
bookmia.07.61,casino_royale,0.0,0.1341,0.0,0.0,0.1602,0,0,0.0,1,0.027,0.0,0.027,0.0,1,0.027,0.0,0.0452,0.0,3,0.1216,0.0,0.1216,0.0,3,0.1216,0.0,0.1538,0.0,3,0.1102,0.0,0.1538,0.0,3,0.0829,0.0,0.1602,0.0,3,0.0829,0.0,0.1602
bookmia.07.62,casino_royale,0.4524,0.5574,0.0,0.0,0.1554,0,0,0.0,3,0.1045,0.0,0.1045,0.0,3,0.1045,0.0,0.1045,0.0,2,0.1098,0.0,0.1098,0.0,2,0.0766,0.0,0.1098,0.0,2,0.0766,0.0,0.1554,0.0,1,0.0095,0.0,0.1554,0.0,1,0.0095,0.0,0.1554
bookmia.07.63,casino_royale,0.2222,0.3415,0.0,0.0,0.1429,0,0,0.0,2,0.1006,0.0,0.1006,0.0,2,0.1006,0.0,0.1006,0.0,2,0.1073,0.0,0.1073,0.0,2,0.1073,0.0,0.1345,0.0,2,0.1073,0.0,0.1345,0.0,1,0.0619,0.0,0.1416,0.0,1,0.0101,0.0,0.1429
bookmia.07.66,casino_royale,0.2817,0.366,0.0,0.0,0.1769,0,0,0.0,2,0.0772,0.0,0.0772,0.0,2,0.0772,0.0,0.0772,0.0,2,0.0772,0.0,0.0903,0.0,2,0.1398,0.0,0.1398,0.0,2,0.0551,0.0,0.1398,0.0,2,0.0753,0.0,0.1398,0.0,2,0.08,0.0,0.1769
bookmia.07.70,casino_royale,0.2245,0.3362,0.0,0.0,0.136,0,0,0.0,1,0.0376,0.0,0.0376,0.0,2,0.0977,0.0,0.0977,0.0,1,0.08,0.0,0.0977,0.0,1,0.055,0.0,0.1333,0.0,2,0.119,0.0,0.1333,0.0,2,0.119,0.0,0.136,0.0,2,0.119,0.0,0.136
bookmia.07.72,casino_royale,0.7704,0.8678,0.0,0.0,0.1352,0,0,0.0,2,0.1095,0.0,0.1095,0.0,1,0.097,0.0,0.1095,0.0,0,0.0,0.0,0.1095,0.0,0,0.0,0.0,0.1095,0.0,0,0.0,0.0,0.1148,0.0,0,0.0,0.0,0.1314,0.0,2,0.0474,0.0,0.1352
bookmia.07.73,casino_royale,0.8107,0.8954,0.0,0.0,0.1308,0,0,0.0,1,0.0632,0.0,0.0632,0.0,2,0.1008,0.0,0.1008,0.0,2,0.1008,0.0,0.1127,0.0,2,0.0772,0.0,0.1143,0.0,2,0.0772,0.0,0.1227,0.0,1,0.0733,0.0,0.1227,0.0,1,0.0733,0.0,0.1308
bookmia.07.77,casino_royale,0.1699,0.3198,0.0,0.0,0.1362,0,0,0.0,2,0.0813,0.0,0.0813,0.0,2,0.0813,0.0,0.087,0.0,2,0.0813,0.0,0.0968,0.0,2,0.0813,0.0,0.1302,0.0,1,0.0354,0.0,0.1302,0.0,1,0.1,0.0,0.1302,0.0,2,0.1243,0.0,0.1362
bookmia.07.80,casino_royale,0.7756,0.8681,0.0,0.0,0.1472,0,0,0.0,3,0.0909,0.0,0.0909,0.0,3,0.0681,0.0,0.0909,0.0,3,0.0681,0.0,0.0909,0.0,3,0.0681,0.0,0.1111,0.0,3,0.0681,0.0,0.1359,0.0,3,0.0681,0.0,0.1372,0.0,3,0.1472,0.0,0.1472
