row,author,status,n_words,target_words,T_target,S_anchor,S_risky,S_whole_anchor,S_whole_risky,anchor_exact,anchor_near,sel_worst_n1,sel_worst_n8,sel_worst_n64,risky_exact,risky_near,meter_0.0649836_exact,meter_0.0649836_near,meter_0.5_exact,meter_0.5_near,meter_1_exact,meter_1_near,meter_3_exact,meter_3_near,meter_10_exact,meter_10_near
194,Nicholas Sparks,protected,41,20,26,84.6991,3.2342,168.3815,27.0556,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
195,Oscar Wilde,public_domain,8,4,5,13.2415,3.7533,40.7588,22.259,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,1.0,1.0
197,George R.R. Martin,protected,18,9,13,26.2575,3.0867,88.3771,31.6377,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
198,J.K. Rowling,protected,19,9,11,27.5662,2.958,103.3163,29.0911,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
199,C.S. Lewis,protected,26,13,15,33.846,4.3622,98.0463,24.3591,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0
200,Mark Twain,public_domain,22,11,12,30.7151,4.3945,79.3582,24.3879,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,1.0,1.0
201,J.K. Rowling,protected,46,23,32,95.8589,4.9709,164.1781,27.2329,0.0,0.0,0.0,0.0,0.0,0.75,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0
202,Haruki Murakami,protected,13,6,7,15.7764,4.3815,65.913,26.8765,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
204,Mark Twain,public_domain,12,6,7,12.7114,4.0778,45.9815,26.247,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.0,1.0
206,Nicholas Sparks,protected,23,11,14,10.0609,4.3351,60.7842,30.3941,0.0,0.0,0.0,0.0,0.0,0.875,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,1.0
209,Chuck Palahniuk,protected,27,13,15,63.4543,4.0389,134.067,27.4235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
211,J.K. Rowling,protected,34,17,23,61.6478,5.4327,208.6603,61.8646,0.0,0.0,0.0,0.0,0.0,0.25,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
212,Cassandra Clare,protected,12,6,7,23.8938,4.7895,64.8007,26.0129,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
213,Paulo Coelho,protected,13,6,7,16.3008,4.0107,56.3463,27.0356,0.0,0.0,0.0,0.0,0.0,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.875
214,William Shakespeare,public_domain,19,9,11,6.1518,3.6545,55.3428,23.8673,0.0,0.0,0.0,0.0,0.0,0.6875,0.6875,0.125,0.125,0.125,0.125,0.25,0.25,0.625,0.625,0.625,0.625
