constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
kl,-1.0,50,bookmia.01.26,3,129.1,-50.0,179.1,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.26,4,136.75,-50.0,186.75,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.26,5,67.17,-50.0,117.17,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.27,0,153.8,-50.0,203.8,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.27,1,165.99,-50.0,215.99,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.27,2,142.83,-50.0,192.83,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.27,3,150.41,-50.0,200.41,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.27,4,172.14,-50.0,222.14,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.27,5,28.45,-50.0,78.45,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.31,0,204.46,-50.0,254.46,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.31,1,164.46,-50.0,214.46,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.31,2,137.27,-50.0,187.27,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.31,3,152.53,-50.0,202.53,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.31,4,146.14,-50.0,196.14,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.31,5,21.11,-50.0,71.11,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.32,0,183.91,-50.0,233.91,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.32,1,226.77,-50.0,276.77,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.32,2,167.92,-50.0,217.92,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.32,3,139.17,-50.0,189.17,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.32,4,155.77,-50.0,205.77,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.32,5,28.52,-50.0,78.52,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.33,0,187.26,-50.0,237.26,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.33,1,166.26,-50.0,216.26,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.33,2,222.3,-50.0,272.3,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.33,3,150.68,-50.0,200.68,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.33,4,160.5,-50.0,210.5,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.33,5,66.05,-50.0,116.05,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.36,0,138.94,-50.0,188.94,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.36,1,160.42,-50.0,210.42,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.36,2,149.31,-50.0,199.31,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.36,3,157.41,-50.0,207.41,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.36,4,184.55,-50.0,234.55,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.36,5,58.44,-50.0,108.44,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.37,0,182.45,-50.0,232.45,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.37,1,165.86,-50.0,215.86,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.37,2,142.02,-50.0,192.02,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.37,3,134.18,-50.0,184.18,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.37,4,143.22,-50.0,193.22,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.37,5,32.78,-50.0,82.78,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.39,0,199.98,-50.0,249.98,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.39,1,164.67,-50.0,214.67,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.39,2,198.43,-50.0,248.43,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.39,3,181.43,-50.0,231.43,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.39,4,142.53,-50.0,192.53,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.39,5,25.49,-50.0,75.49,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.41,0,171.09,-50.0,221.09,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.41,1,172.94,-50.0,222.94,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.41,2,128.96,-50.0,178.96,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.41,3,171.57,-50.0,221.57,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.41,4,157.16,-50.0,207.16,2,1,2,1.0,1.0
kl,-1.0,50,bookmia.01.41,5,21.08,-50.0,71.08,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.42,0,161.19,-50.0,211.19,3,1,3,1.0,1.0
kl,-1.0,50,bookmia.01.42,1,155.91,-50.0,205.91,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.42,2,134.97,-50.0,184.97,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.42,3,170.76,-50.0,220.76,8,0,,1.0,1.0
kl,-1.0,50,bookmia.01.42,4,198.19,-50.0,248.19,1,1,1,1.0,1.0
kl,-1.0,50,bookmia.01.42,5,0.5,-50.0,50.5,8,0,,1.0,1.0
