prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.02,casino_royale,0.8177,0.8997,0.3143,0.3744,0.5376,0,238,0.3645,74,0.5343,0.3645,0.5343,0.3645,74,0.5343,0.3645,0.5343,0.3645,74,0.5343,0.3645,0.5343,0.3645,74,0.5343,0.3744,0.5376
bookmia.07.03,casino_royale,0.5735,0.6898,0.2524,0.3412,0.5088,0,226,0.2986,63,0.4792,0.2986,0.4792,0.3033,63,0.4825,0.3033,0.4842,0.3412,72,0.5088,0.3412,0.5088,0.3412,72,0.5088,0.3412,0.5088
bookmia.07.04,casino_royale,0.1132,0.2381,0.2879,0.3396,0.507,0,239,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507,0.3396,72,0.507,0.3396,0.507
bookmia.07.05,casino_royale,0.7368,0.8352,0.2562,0.3493,0.5159,0,232,0.2823,59,0.4523,0.2823,0.4523,0.3493,73,0.5159,0.3493,0.5159,0.3493,73,0.5159,0.3493,0.5159,0.3493,73,0.5159,0.3493,0.5159
bookmia.07.06,casino_royale,0.7436,0.8612,0.2618,0.3897,0.5609,0,197,0.3897,76,0.5609,0.3897,0.5609,0.3897,76,0.5609,0.3897,0.5609,0.3897,76,0.5609,0.3897,0.5609,0.3897,76,0.5609,0.3897,0.5609
bookmia.07.07,casino_royale,0.0,0.1463,0.2606,0.3333,0.4948,0,227,0.3241,49,0.4808,0.3241,0.4808,0.3241,70,0.4948,0.3241,0.4948,0.3241,70,0.4948,0.3287,0.4948,0.3241,70,0.4948,0.3333,0.4948
bookmia.07.08,casino_royale,0.4541,0.5754,0.0047,0.2512,0.4145,0,5,0.0,3,0.106,0.0,0.106,0.0,3,0.106,0.0,0.131,0.2464,47,0.3855,0.2464,0.3855,0.2512,52,0.4145,0.2512,0.4145
bookmia.07.09,casino_royale,0.7799,0.8763,0.2932,0.3589,0.523,0,234,0.201,42,0.3579,0.201,0.3579,0.3541,74,0.523,0.3541,0.523,0.3541,74,0.523,0.3541,0.523,0.3541,74,0.523,0.3589,0.523
bookmia.07.15,casino_royale,0.7897,0.8825,0.2433,0.3505,0.519,0,227,0.1682,36,0.3643,0.1682,0.3643,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519,0.3505,75,0.519,0.3505,0.519
bookmia.07.16,casino_royale,0.6465,0.7387,0.303,0.3953,0.5667,0,244,0.3953,85,0.5667,0.3953,0.5667,0.3953,85,0.5667,0.3953,0.5667,0.3953,85,0.5667,0.3953,0.5667,0.3953,85,0.5667,0.3953,0.5667
bookmia.07.17,casino_royale,0.203,0.3362,0.2966,0.3911,0.5571,0,224,0.2475,42,0.4086,0.2475,0.4086,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3861,0.5571,0.3861,78,0.5571,0.3911,0.5571
bookmia.07.20,casino_royale,0.3991,0.5319,0.286,0.3427,0.5105,0,242,0.1925,41,0.346,0.1925,0.346,0.3427,73,0.5105,0.3427,0.5105,0.3427,73,0.5105,0.3427,0.5105,0.3427,73,0.5105,0.3427,0.5105
bookmia.07.24,casino_royale,0.5492,0.6328,0.2769,0.3782,0.5489,0,224,0.3731,72,0.5414,0.3731,0.5414,0.3731,72,0.5414,0.3731,0.5414,0.3731,72,0.5414,0.3731,0.5468,0.3731,72,0.5414,0.3782,0.5489
bookmia.07.25,casino_royale,0.743,0.8525,0.303,0.3411,0.5087,0,246,0.3411,73,0.5087,0.3411,0.5087,0.3411,73,0.5087,0.3411,0.5087,0.3411,73,0.5087,0.3411,0.5087,0.3411,73,0.5087,0.3411,0.5087
bookmia.07.26,casino_royale,0.2009,0.3483,0.2746,0.3411,0.5035,0,230,0.3364,72,0.5035,0.3364,0.5035,0.3364,72,0.5035,0.3364,0.5035,0.3364,72,0.5035,0.3364,0.5035,0.3364,72,0.5035,0.3411,0.5035
bookmia.07.28,casino_royale,0.5209,0.7763,0.2679,0.3581,0.5274,0,217,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274,0.3581,77,0.5274,0.3581,0.5274
bookmia.07.29,casino_royale,0.1866,0.3548,0.221,0.378,0.5467,0,236,0.2297,48,0.3833,0.2297,0.3833,0.378,79,0.5467,0.378,0.5467,0.378,79,0.5467,0.378,0.5467,0.378,79,0.5467,0.378,0.5467
bookmia.07.30,casino_royale,0.3713,0.478,0.2832,0.3911,0.5623,0,221,0.0,5,0.1423,0.0,0.1423,0.3911,79,0.5623,0.3911,0.5623,0.3911,79,0.5623,0.3911,0.5623,0.3911,79,0.5623,0.3911,0.5623
bookmia.07.31,casino_royale,0.733,0.8287,0.2492,0.3495,0.5126,0,203,0.0,17,0.1964,0.0,0.1964,0.3447,71,0.5126,0.3495,0.5126,0.3447,71,0.5126,0.3495,0.5126,0.3447,71,0.5126,0.3495,0.5126
bookmia.07.32,casino_royale,0.5385,0.6559,0.3071,0.3654,0.5333,0,233,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333,0.3654,76,0.5333,0.3654,0.5333
