prompt_id,novel,risky_alone_recall,risky_alone_R,min_R,median_R,anchor_recall,accepted_C4.1589,recall_C4.1589,accepted_C33.271,recall_C33.271,accepted_C83.178,recall_C83.178,accepted_C159.83,recall_C159.83,accepted_C250,recall_C250,accepted_C400,recall_C400,accepted_C600,recall_C600,accepted_C800,recall_C800
bookmia.07.07,casino_royale,0.125,595.15,482.96,628.74,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.125,0,0.125
bookmia.07.08,casino_royale,0.3527,643.55,514.51,673.99,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,5,0.0,0,0.3527
bookmia.07.09,casino_royale,1.0,952.11,582.0,965.66,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,24,0.0,11,0.2775
bookmia.07.15,casino_royale,0.2897,688.64,532.92,667.22,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,7,0.1402,0,0.2897
bookmia.07.16,casino_royale,0.9163,882.72,500.37,884.89,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,8,0.0,8,0.0
bookmia.07.17,casino_royale,1.0,974.91,453.99,878.05,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,28,0.0,1,0.1238
bookmia.07.20,casino_royale,0.6197,884.46,610.99,887.58,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,7,0.0939
bookmia.07.24,casino_royale,0.2902,699.47,469.01,716.27,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.1969,0,0.2902
bookmia.07.25,casino_royale,1.0,1042.08,570.51,1042.03,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,10,0.0,10,0.0
bookmia.07.26,casino_royale,0.0,699.27,570.54,681.47,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,18,0.2009,0,0.0
bookmia.07.28,casino_royale,0.3581,717.67,600.19,738.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.3581
bookmia.07.29,casino_royale,0.1866,591.2,363.29,588.18,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,13,0.1627,0,0.1866,0,0.1866
bookmia.07.30,casino_royale,0.0,590.27,496.45,702.83,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.0
bookmia.07.31,casino_royale,0.9854,908.44,550.35,873.04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,32,0.1796,1,0.1796
bookmia.07.32,casino_royale,0.0,632.53,539.8,929.48,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0,0,0.0
bookmia.07.37,casino_royale,0.5991,749.28,475.17,746.02,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,10,0.3113,0,0.5991
bookmia.07.40,casino_royale,0.9742,854.93,553.2,801.24,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,6,0.1392,1,0.0
bookmia.07.41,casino_royale,0.1019,574.8,442.29,626.18,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.1019,0,0.1019
bookmia.07.43,casino_royale,0.7725,809.61,518.01,809.62,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,11,0.0,5,0.7037
bookmia.07.44,casino_royale,0.0,642.2,486.64,696.98,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4,0.1667,0,0.0
bookmia.07.47,casino_royale,0.4162,852.1,366.71,820.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,49,0.0,49,0.0,6,0.5025
bookmia.07.49,casino_royale,0.0,593.08,462.84,647.04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.0
bookmia.07.53,casino_royale,0.7358,830.74,503.18,836.77,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,9,0.0,7,0.7358
bookmia.07.54,casino_royale,0.7169,818.9,593.45,911.04,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,39,0.1233,3,0.1781
bookmia.07.55,casino_royale,0.7157,801.35,451.03,749.54,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.2647,1,0.2647
bookmia.07.56,casino_royale,0.5274,688.65,538.27,793.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,36,0.0,0,0.5274
bookmia.07.57,casino_royale,0.0,645.84,484.06,618.51,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0.0,0,0.0
bookmia.07.59,casino_royale,0.8824,879.09,572.8,776.66,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4,0.3032,3,0.3575
bookmia.07.61,casino_royale,0.0,643.81,490.64,626.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.0,0,0.0
bookmia.07.62,casino_royale,0.2143,735.06,476.8,712.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,16,0.0,0,0.2143
bookmia.07.63,casino_royale,0.303,557.73,419.03,701.86,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.303,0,0.303
bookmia.07.66,casino_royale,0.277,754.33,520.16,670.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,33,0.1502,0,0.277
bookmia.07.70,casino_royale,0.2755,773.38,537.04,761.94,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,3,0.0,0,0.2755
bookmia.07.72,casino_royale,0.1582,612.18,495.48,801.52,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4,0.199,0,0.1582
bookmia.07.73,casino_royale,1.0,874.13,497.64,854.28,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,11,0.2087,1,0.233
bookmia.07.77,casino_royale,0.0,613.38,451.52,687.37,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,10,0.0,0,0.0
bookmia.07.80,casino_royale,0.0,601.93,601.93,888.75,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0
