prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.79,a_game_of_thrones,0.2982,0.4674,0.0214,0.1743,0.3718,0,45,0.0,5,0.1887,0.0,0.1887,0.0,8,0.2063,0.0917,0.2556,0.0,8,0.2298,0.1743,0.3395,0.1743,38,0.3333,0.1743,0.3718
bookmia.01.81,a_game_of_thrones,0.2255,0.3456,0.136,0.4559,0.5993,0,244,0.1422,27,0.3097,0.1422,0.3097,0.1324,27,0.3278,0.1422,0.356,0.3186,38,0.4601,0.3186,0.4601,0.4559,38,0.5993,0.4559,0.5993
bookmia.01.82,a_game_of_thrones,0.7799,0.8763,0.3319,0.5789,0.7256,0,243,0.2967,35,0.4554,0.2967,0.4554,0.5789,94,0.7234,0.5789,0.7234,0.5789,94,0.7234,0.5789,0.7234,0.5694,119,0.7256,0.5789,0.7256
bookmia.01.83,a_game_of_thrones,0.7512,0.8305,0.0032,0.5224,0.6863,0,2,0.0,11,0.1806,0.0,0.1806,0.0,15,0.2341,0.0,0.2341,0.0,15,0.1581,0.0,0.2653,0.5224,105,0.6863,0.5224,0.6863
bookmia.01.87,a_game_of_thrones,0.2991,0.4326,0.007,0.1589,0.3583,0,12,0.0,2,0.1524,0.0,0.1524,0.0,14,0.3048,0.0,0.3048,0.0,1,0.1083,0.1589,0.3247,0.0,1,0.1083,0.1589,0.3583
bookmia.01.88,a_game_of_thrones,0.7385,0.8304,0.37,0.5179,0.6801,0,221,0.5179,101,0.6801,0.5179,0.6801,0.5179,101,0.6801,0.5179,0.6801,0.5179,101,0.6801,0.5179,0.6801,0.5179,101,0.6801,0.5179,0.6801
bookmia.01.89,a_game_of_thrones,0.7317,0.8451,0.1672,0.4829,0.6513,0,147,0.239,49,0.408,0.239,0.408,0.4439,49,0.6093,0.4439,0.6093,0.4829,99,0.6513,0.4829,0.6513,0.4829,99,0.6513,0.4829,0.6513
bookmia.01.90,a_game_of_thrones,0.3782,0.4928,0.027,0.5596,0.7152,0,32,0.0,7,0.1959,0.0,0.1959,0.0,15,0.2467,0.1036,0.2543,0.5596,101,0.7129,0.5596,0.7129,0.5596,108,0.7152,0.5596,0.7152
bookmia.01.97,a_game_of_thrones,0.0,0.1637,0.244,0.3968,0.6301,0,236,0.1429,27,0.2809,0.1429,0.2809,0.2857,54,0.4321,0.2857,0.4321,0.3968,75,0.5559,0.3968,0.6301,0.3968,75,0.5473,0.3968,0.6301
bookmia.07.02,casino_royale,0.803,0.8835,0.0032,0.1182,0.2492,0,8,0.0,7,0.1569,0.0,0.1569,0.0,7,0.1739,0.0,0.1765,0.0,7,0.177,0.1182,0.2379,0.0985,20,0.2338,0.1182,0.2492
bookmia.07.03,casino_royale,0.5735,0.7166,0.0132,0.5071,0.6688,0,11,0.0,9,0.1859,0.0,0.1859,0.2654,56,0.4409,0.2654,0.4409,0.5071,104,0.6688,0.5071,0.6688,0.5071,104,0.6688,0.5071,0.6688
bookmia.07.04,casino_royale,0.684,0.8511,0.0769,0.5142,0.677,0,131,0.0,13,0.2038,0.0,0.2038,0.1415,30,0.2785,0.1509,0.3178,0.467,76,0.6293,0.467,0.6293,0.5142,109,0.677,0.5142,0.677
bookmia.07.05,casino_royale,0.0,0.1703,0.2858,0.5072,0.673,0,236,0.2919,61,0.4717,0.2919,0.4717,0.5072,106,0.673,0.5072,0.673,0.5072,106,0.673,0.5072,0.673,0.5072,106,0.673,0.5072,0.673
bookmia.07.06,casino_royale,0.8154,0.8983,0.3996,0.5487,0.702,0,244,0.1333,26,0.2876,0.1333,0.2876,0.5436,106,0.702,0.5436,0.702,0.5436,106,0.702,0.5436,0.702,0.5436,106,0.702,0.5487,0.702
bookmia.07.07,casino_royale,0.1435,0.2821,0.0242,0.2824,0.4771,0,24,0.0,7,0.172,0.0,0.172,0.0,7,0.1767,0.0,0.2334,0.2824,61,0.4771,0.2824,0.4771,0.2824,61,0.4543,0.2824,0.4771
bookmia.07.08,casino_royale,0.0,0.1939,0.1688,0.4686,0.6271,0,206,0.1594,33,0.3268,0.1594,0.3268,0.2754,33,0.4197,0.2754,0.4197,0.4686,62,0.625,0.4686,0.625,0.4589,95,0.6271,0.4686,0.6271
bookmia.07.09,casino_royale,0.7799,0.8763,0.2412,0.4976,0.6645,0,209,0.3828,80,0.5623,0.3828,0.5623,0.3828,80,0.5761,0.3828,0.5761,0.4641,97,0.6326,0.4641,0.6326,0.4976,104,0.6645,0.4976,0.6645
bookmia.07.15,casino_royale,0.7897,0.8773,0.1944,0.3178,0.5652,0,234,0.1963,40,0.3692,0.1963,0.3692,0.1963,40,0.3544,0.1963,0.3692,0.3037,65,0.5138,0.3037,0.5138,0.3037,65,0.4862,0.3178,0.5652
bookmia.07.16,casino_royale,0.7767,0.852,0.1756,0.6093,0.7572,0,158,0.3209,37,0.4762,0.3209,0.4762,0.3209,37,0.4762,0.3209,0.4762,0.4698,64,0.6291,0.4744,0.6353,0.6093,131,0.7572,0.6093,0.7572
bookmia.07.17,casino_royale,0.302,0.4011,0.1942,0.5446,0.6945,0,195,0.3812,69,0.5112,0.3812,0.5112,0.3812,69,0.5159,0.3812,0.5367,0.5446,102,0.6945,0.5446,0.6945,0.5446,102,0.6945,0.5446,0.6945
bookmia.07.20,casino_royale,0.5681,0.7278,0.2591,0.4366,0.6059,0,244,0.2958,63,0.4706,0.2958,0.4706,0.2958,63,0.4825,0.2958,0.4825,0.4085,87,0.5833,0.4085,0.5833,0.4366,93,0.6059,0.4366,0.6059
bookmia.07.24,casino_royale,0.5959,0.7003,0.0953,0.5078,0.6712,0,124,0.285,55,0.4414,0.285,0.4414,0.285,55,0.4414,0.285,0.4414,0.5078,98,0.6712,0.5078,0.6712,0.5078,98,0.6712,0.5078,0.6712
bookmia.07.25,casino_royale,0.743,0.8525,0.2365,0.5187,0.6831,0,253,0.1542,33,0.291,0.1542,0.291,0.3505,75,0.5455,0.3505,0.5455,0.4486,73,0.5956,0.4486,0.5956,0.5187,111,0.6831,0.5187,0.6831
bookmia.07.26,casino_royale,0.2009,0.3499,0.1648,0.4533,0.6174,0,196,0.0,3,0.1569,0.0,0.1569,0.1495,32,0.3268,0.1495,0.3268,0.2991,64,0.457,0.3271,0.511,0.4533,90,0.6174,0.4533,0.6174
bookmia.07.28,casino_royale,0.493,0.6412,0.1658,0.4977,0.6646,0,205,0.0,3,0.1846,0.0,0.1846,0.2186,47,0.3692,0.2186,0.4051,0.4977,107,0.6646,0.4977,0.6646,0.4977,107,0.6646,0.4977,0.6646
