k,mode,L,constraint,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,R_total,max_query_R_over_K,invariant_violations,delta_init_mean,tokens_generated,attempts_total,windows_total,windows_matched,nv_recall,lcs_word
10.0,chained,20,kl,bookmia.07.20,casino_royale,261,14,467.418,51.972,200.0,0.2599,434.117,0.2889,0,10.913,289,14,14,0,0.0,2
10.0,chained,20,kl,bookmia.07.24,casino_royale,245,13,539.108,55.818,200.0,0.2791,565.938,0.2856,0,11.092,266,13,13,0,0.1451,28
10.0,chained,20,kl,bookmia.07.25,casino_royale,264,14,433.904,49.844,200.0,0.2492,413.855,0.2749,0,11.556,289,14,14,0,0.0,3
10.0,chained,20,kl,bookmia.07.26,casino_royale,257,13,563.784,85.014,200.0,0.4251,554.47,0.4252,0,12.758,267,13,13,0,0.0,15
10.0,chained,20,kl,bookmia.07.28,casino_royale,255,13,484.04,76.586,200.0,0.3829,467.235,0.385,0,13.809,266,13,13,0,0.0977,19
10.0,chained,20,kl,bookmia.07.29,casino_royale,259,13,88.809,43.35,200.0,0.2167,58.381,0.1467,0,10.027,272,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.30,casino_royale,244,13,468.234,61.568,200.0,0.3078,443.042,0.3621,0,11.914,266,13,13,0,0.0,8
10.0,chained,20,kl,bookmia.07.31,casino_royale,271,14,573.348,74.488,200.0,0.3724,593.033,0.3753,0,13.331,289,14,14,0,0.0,14
10.0,chained,20,kl,bookmia.07.32,casino_royale,265,14,596.782,69.19,200.0,0.346,564.731,0.3575,0,12.731,289,14,14,0,0.0,14
10.0,chained,20,kl,bookmia.07.37,casino_royale,264,14,589.465,58.485,200.0,0.2924,575.379,0.2975,0,12.625,291,14,14,0,0.1368,18
10.0,chained,20,kl,bookmia.07.40,casino_royale,252,13,435.578,59.693,200.0,0.2985,437.414,0.3107,0,11.089,267,13,13,0,0.0,19
10.0,chained,20,kl,bookmia.07.41,casino_royale,255,13,467.154,47.936,200.0,0.2397,415.82,0.2442,0,11.705,266,13,13,0,0.0,3
10.0,chained,20,kl,bookmia.07.43,casino_royale,243,13,439.776,53.895,200.0,0.2695,407.379,0.2561,0,10.557,269,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.44,casino_royale,258,13,547.722,53.065,200.0,0.2653,448.927,0.2553,0,11.87,267,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.47,casino_royale,259,13,658.578,88.978,200.0,0.4449,684.632,0.4589,0,13.017,266,13,13,0,0.2843,38
10.0,chained,20,kl,bookmia.07.49,casino_royale,249,13,527.966,68.781,200.0,0.3439,555.932,0.3519,0,11.905,267,13,13,0,0.0,9
10.0,chained,20,kl,bookmia.07.53,casino_royale,269,14,547.056,50.906,200.0,0.2545,581.966,0.2891,0,11.775,290,14,14,0,0.0,4
10.0,chained,20,kl,bookmia.07.54,casino_royale,258,13,222.801,87.818,200.0,0.4391,207.786,0.4427,0,12.47,260,13,13,0,0.0,17
10.0,chained,20,kl,bookmia.07.55,casino_royale,243,13,513.288,59.342,200.0,0.2967,512.401,0.2997,0,10.042,267,13,13,0,0.1814,28
10.0,chained,20,kl,bookmia.07.56,casino_royale,247,13,514.422,54.25,200.0,0.2712,491.017,0.277,0,12.06,266,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.57,casino_royale,258,13,447.738,53.369,200.0,0.2668,460.875,0.2308,0,11.133,267,13,13,0,0.0,5
10.0,chained,20,kl,bookmia.07.59,casino_royale,252,13,462.952,51.887,200.0,0.2594,473.027,0.2678,0,12.247,266,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.61,casino_royale,253,13,338.034,75.69,200.0,0.3784,326.073,0.3967,0,11.387,266,13,13,0,0.0,8
10.0,chained,20,kl,bookmia.07.62,casino_royale,265,14,523.118,80.206,200.0,0.401,504.553,0.4109,0,12.92,289,14,14,0,0.0,18
10.0,chained,20,kl,bookmia.07.63,casino_royale,247,13,95.974,56.484,200.0,0.2824,66.158,0.2816,0,12.101,266,13,13,0,0.0,1
10.0,chained,20,kl,bookmia.07.66,casino_royale,260,13,541.737,76.291,200.0,0.3815,546.511,0.3865,0,11.27,267,13,13,0,0.1596,34
10.0,chained,20,kl,bookmia.07.70,casino_royale,251,13,409.075,79.408,200.0,0.397,433.645,0.4039,0,11.529,266,13,13,0,0.0,18
10.0,chained,20,kl,bookmia.07.72,casino_royale,253,13,509.982,66.901,200.0,0.3345,520.227,0.337,0,10.967,260,13,13,0,0.1582,29
10.0,chained,20,kl,bookmia.07.73,casino_royale,247,13,487.073,64.45,200.0,0.3222,472.815,0.3182,0,10.211,260,13,13,0,0.2379,34
10.0,chained,20,kl,bookmia.07.77,casino_royale,252,13,475.375,59.735,200.0,0.2987,521.151,0.3585,0,11.528,260,13,13,0,0.0,2
10.0,chained,20,kl,bookmia.07.80,casino_royale,263,14,650.53,92.829,200.0,0.4641,643.004,0.4844,0,12.434,289,14,14,0,0.0,14
10.0,chained,50,kl,bookmia.00.11,1984,248,5,453.965,119.87,500.0,0.2397,428.722,0.241,0,11.851,250,5,5,0,0.1931,39
10.0,chained,50,kl,bookmia.00.26,1984,243,5,494.557,145.0,500.0,0.29,489.652,0.2957,0,10.227,250,5,5,0,0.0,17
10.0,chained,50,kl,bookmia.00.31,1984,241,5,437.301,106.987,500.0,0.214,416.434,0.2004,0,10.262,250,5,5,0,0.0,2
10.0,chained,50,kl,bookmia.00.40,1984,260,6,577.106,116.971,500.0,0.2339,591.077,0.2442,0,11.87,305,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.00.46,1984,253,6,713.506,166.119,500.0,0.3322,706.981,0.3048,0,12.871,303,6,6,0,0.0,11
10.0,chained,50,kl,bookmia.00.48,1984,257,6,494.958,113.89,500.0,0.2278,499.188,0.2505,0,10.514,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.00.64,1984,256,6,639.725,133.852,500.0,0.2677,609.412,0.2408,0,11.417,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.00.71,1984,266,6,762.665,196.227,500.0,0.3925,753.473,0.3935,0,13.247,304,6,6,0,0.3897,42
10.0,chained,50,kl,bookmia.01.00,a_game_of_thrones,270,6,685.913,125.24,500.0,0.2505,725.217,0.2766,0,12.018,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.01,a_game_of_thrones,282,6,642.465,137.141,500.0,0.2743,669.4,0.2802,0,13.085,303,6,6,0,0.0,11
10.0,chained,50,kl,bookmia.01.02,a_game_of_thrones,266,6,634.539,133.622,500.0,0.2672,637.995,0.2834,0,12.649,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.03,a_game_of_thrones,254,6,660.259,147.461,500.0,0.2949,682.346,0.2941,0,11.57,303,6,6,0,0.3081,32
10.0,chained,50,kl,bookmia.01.04,a_game_of_thrones,257,6,391.041,111.185,500.0,0.2224,352.926,0.2138,0,10.595,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.07,a_game_of_thrones,258,6,691.636,156.95,500.0,0.3139,673.207,0.314,0,11.446,303,6,6,0,0.0986,16
10.0,chained,50,kl,bookmia.01.10,a_game_of_thrones,263,6,578.505,126.566,500.0,0.2531,508.546,0.2471,0,11.529,303,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.11,a_game_of_thrones,259,6,685.141,144.902,500.0,0.2898,665.447,0.3175,0,11.647,303,6,6,0,0.3774,42
10.0,chained,50,kl,bookmia.01.12,a_game_of_thrones,287,6,650.484,124.946,500.0,0.2499,631.582,0.2466,0,11.446,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.14,a_game_of_thrones,262,6,665.636,140.34,500.0,0.2807,615.528,0.2587,0,12.281,303,6,6,0,0.0,4
10.0,chained,50,kl,bookmia.01.20,a_game_of_thrones,264,6,631.561,127.743,500.0,0.2555,590.348,0.2617,0,11.44,303,6,6,0,0.0,4
10.0,chained,50,kl,bookmia.01.22,a_game_of_thrones,271,6,773.093,182.768,500.0,0.3655,771.062,0.3672,0,13.195,303,6,6,0,0.4776,71
10.0,chained,50,kl,bookmia.01.23,a_game_of_thrones,253,6,719.152,153.602,500.0,0.3072,698.598,0.3235,0,11.69,303,6,6,0,0.288,21
10.0,chained,50,kl,bookmia.01.26,a_game_of_thrones,275,6,688.338,137.704,500.0,0.2754,719.098,0.282,0,12.018,303,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.27,a_game_of_thrones,261,6,692.111,135.227,500.0,0.2705,701.334,0.2644,0,11.472,302,6,6,0,0.0,12
10.0,chained,50,kl,bookmia.01.31,a_game_of_thrones,258,6,863.587,196.849,500.0,0.3937,867.009,0.4038,0,12.244,303,6,6,0,0.7077,72
10.0,chained,50,kl,bookmia.01.32,a_game_of_thrones,260,6,568.726,105.053,500.0,0.2101,535.135,0.207,0,10.547,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.33,a_game_of_thrones,271,6,743.449,183.607,500.0,0.3672,774.521,0.3682,0,13.767,303,6,6,0,0.1737,33
10.0,chained,50,kl,bookmia.01.36,a_game_of_thrones,262,6,571.367,135.87,500.0,0.2717,577.462,0.2725,0,11.679,303,6,6,0,0.2069,42
10.0,chained,50,kl,bookmia.01.37,a_game_of_thrones,260,6,679.557,160.369,500.0,0.3207,648.778,0.3236,0,13.538,304,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.39,a_game_of_thrones,259,6,541.397,123.059,500.0,0.2461,559.057,0.2639,0,11.299,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.41,a_game_of_thrones,258,6,637.335,112.201,500.0,0.2244,611.237,0.2611,0,11.369,303,6,6,0,0.0,5
10.0,chained,50,kl,bookmia.01.42,a_game_of_thrones,251,6,714.938,150.858,500.0,0.3017,752.701,0.3173,0,13.541,303,6,6,0,0.4976,36
10.0,chained,50,kl,bookmia.01.43,a_game_of_thrones,296,6,613.65,132.416,500.0,0.2648,562.285,0.2243,0,10.58,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.44,a_game_of_thrones,274,6,509.222,100.731,500.0,0.2015,502.664,0.2096,0,10.32,303,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.46,a_game_of_thrones,266,6,717.894,211.665,500.0,0.4233,741.069,0.4305,0,13.243,304,6,6,0,0.1818,36
10.0,chained,50,kl,bookmia.01.49,a_game_of_thrones,282,6,624.024,113.19,500.0,0.2264,674.517,0.2555,0,13.501,305,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.51,a_game_of_thrones,265,6,661.814,131.712,500.0,0.2634,664.543,0.268,0,12.295,302,6,6,0,0.0,3
10.0,chained,50,kl,bookmia.01.52,a_game_of_thrones,288,6,700.707,133.447,500.0,0.2669,734.617,0.2833,0,11.891,304,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.58,a_game_of_thrones,255,6,754.726,154.845,500.0,0.3097,758.083,0.3249,0,12.837,304,6,6,0,0.0,1
10.0,chained,50,kl,bookmia.01.59,a_game_of_thrones,275,6,577.42,120.029,500.0,0.2401,567.239,0.2114,0,12.634,305,6,6,0,0.0,2
10.0,chained,50,kl,bookmia.01.60,a_game_of_thrones,273,6,671.734,139.628,500.0,0.2793,655.145,0.2896,0,11.547,305,6,6,0,0.0,2
