source,work,kind,n_tokens,S,S_per_tok,nv_recall,lcs_word
gutenberg,Jane Eyre,opening,100,360.82,3.6082,,
gutenberg,Jane Eyre,deep,100,334.31,3.3431,,
gutenberg,Jane Eyre,anchor_greedy_recall,100,,,0.0,1
gutenberg,Jane Eyre,anchor_sampled_recall,100,,,0.0,1
gutenberg,Wuthering Heights,opening,100,361.03,3.6103,,
gutenberg,Wuthering Heights,deep,100,320.55,3.2055,,
gutenberg,Wuthering Heights,anchor_greedy_recall,100,,,0.0,1
gutenberg,Wuthering Heights,anchor_sampled_recall,100,,,0.0,1
gutenberg,Great Expectations,opening,100,310.99,3.1099,,
gutenberg,Great Expectations,deep,100,364.81,3.6481,,
gutenberg,Great Expectations,anchor_greedy_recall,100,,,0.0,1
gutenberg,Great Expectations,anchor_sampled_recall,100,,,0.0,1
gutenberg,Adventures of Huckleberry Finn,opening,100,500.92,5.0092,,
gutenberg,Adventures of Huckleberry Finn,deep,100,338.62,3.3862,,
gutenberg,Adventures of Huckleberry Finn,anchor_greedy_recall,100,,,0.0,3
gutenberg,Adventures of Huckleberry Finn,anchor_sampled_recall,100,,,0.0,2
gutenberg,The Adventures of Tom Sawyer,opening,100,332.29,3.3229,,
gutenberg,The Adventures of Tom Sawyer,deep,100,357.55,3.5755,,
gutenberg,The Adventures of Tom Sawyer,anchor_greedy_recall,100,,,0.0,1
gutenberg,The Adventures of Tom Sawyer,anchor_sampled_recall,100,,,0.0,2
gutenberg,Treasure Island,opening,100,181.14,1.8114,,
gutenberg,Treasure Island,deep,100,343.74,3.4374,,
gutenberg,Treasure Island,anchor_greedy_recall,100,,,0.0,1
gutenberg,Treasure Island,anchor_sampled_recall,100,,,0.0,1
gutenberg,Peter Pan,opening,100,283.58,2.8358,,
gutenberg,Peter Pan,deep,100,334.44,3.3444,,
gutenberg,Peter Pan,anchor_greedy_recall,100,,,0.0,2
gutenberg,Peter Pan,anchor_sampled_recall,100,,,0.0,1
gutenberg,The Wonderful Wizard of Oz,opening,100,358.87,3.5887,,
gutenberg,The Wonderful Wizard of Oz,deep,100,316.06,3.1606,,
gutenberg,The Wonderful Wizard of Oz,anchor_greedy_recall,100,,,0.0,1
gutenberg,The Wonderful Wizard of Oz,anchor_sampled_recall,100,,,0.0,1
gutenberg,Little Women,opening,100,298.1,2.981,,
gutenberg,Little Women,deep,100,336.01,3.3601,,
gutenberg,Little Women,anchor_greedy_recall,100,,,0.0,2
gutenberg,Little Women,anchor_sampled_recall,100,,,0.0,2
gutenberg,Anne of Green Gables,opening,100,341.31,3.4131,,
gutenberg,Anne of Green Gables,deep,100,325.48,3.2548,,
gutenberg,Anne of Green Gables,anchor_greedy_recall,100,,,0.0,2
gutenberg,Anne of Green Gables,anchor_sampled_recall,100,,,0.0,2
gutenberg,The Call of the Wild,opening,100,331.38,3.3138,,
gutenberg,The Call of the Wild,deep,100,363.6,3.636,,
gutenberg,The Call of the Wild,anchor_greedy_recall,100,,,0.0,2
gutenberg,The Call of the Wild,anchor_sampled_recall,100,,,0.0,2
gutenberg,The War of the Worlds,opening,100,244.87,2.4487,,
gutenberg,The War of the Worlds,deep,100,344.52,3.4452,,
gutenberg,The War of the Worlds,anchor_greedy_recall,100,,,0.0,2
gutenberg,The War of the Worlds,anchor_sampled_recall,100,,,0.0,2
gutenberg,The Time Machine,opening,100,364.34,3.6434,,
