k,mode,L,B_user,field,n,recall_mean,recall_ge_0p8_pct,cut_pct,queries_served_mean,spend_total_mean,S_total_median
20.0,chained,50,100,Z,100,0.0,0.0,100,0.02,762.0,849.0
20.0,chained,50,200,Z,100,0.1234,0.0,100,0.92,762.0,849.0
20.0,chained,50,400,Z,100,0.2609,0.0,100,2.33,762.0,849.0
20.0,chained,50,800,Z,100,0.4705,22.0,41.0,5.31,762.0,849.0
20.0,chained,50,1600,Z,100,0.5039,33.0,0,5.84,762.0,849.0
20.0,chained,50,3200,Z,100,0.5039,33.0,0,5.84,762.0,849.0
20.0,chained,50,inf,Z,100,0.5039,33.0,0,5.84,762.0,849.0
20.0,oracle,20,50,Z,100,0.0,0.0,100,0.07,831.2,849.0
20.0,oracle,20,100,Z,100,0.0016,0.0,100,1,831.2,849.0
20.0,oracle,20,200,Z,100,0.1442,0.0,100,2.49,831.2,849.0
20.0,oracle,20,400,Z,100,0.3724,0.0,100,5.75,831.2,849.0
20.0,oracle,20,800,Z,100,0.7954,52.0,64.0,12.32,831.2,849.0
20.0,oracle,20,1600,Z,100,0.8579,74.0,0,13.53,831.2,849.0
20.0,oracle,20,3200,Z,100,0.8579,74.0,0,13.53,831.2,849.0
20.0,oracle,20,inf,Z,100,0.8579,74.0,0,13.53,831.2,849.0
20.0,oracle,50,50,Z,100,0.0,0.0,100,0,859.8,849.0
20.0,oracle,50,100,Z,100,0.0,0.0,100,0.02,859.8,849.0
20.0,oracle,50,200,Z,100,0.1234,0.0,100,0.89,859.8,849.0
20.0,oracle,50,400,Z,100,0.3032,0.0,100,2.06,859.8,849.0
20.0,oracle,50,800,Z,100,0.7121,29.0,77.0,4.82,859.8,849.0
20.0,oracle,50,1600,Z,100,0.7865,57.0,0,5.84,859.8,849.0
20.0,oracle,50,3200,Z,100,0.7865,57.0,0,5.84,859.8,849.0
20.0,oracle,50,inf,Z,100,0.7865,57.0,0,5.84,859.8,849.0
20.0,single,0,50,Z,100,0.0,0.0,100,0,761.3,849.0
20.0,single,0,100,Z,100,0.0,0.0,100,0,761.3,849.0
20.0,single,0,200,Z,100,0.0,0.0,100,0,761.3,849.0
20.0,single,0,400,Z,100,0.0,0.0,100,0,761.3,849.0
20.0,single,0,800,Z,100,0.1557,3.0,40.0,0.6,761.3,849.0
20.0,single,0,1600,Z,100,0.4759,28.0,0,1,761.3,849.0
20.0,single,0,3200,Z,100,0.4759,28.0,0,1,761.3,849.0
20.0,single,0,inf,Z,100,0.4759,28.0,0,1,761.3,849.0
