k,K,split,prompt_id,seed,constraint,T,Z,L,M,V,b,B,L_over_K
0.5,100.0,attack_train,bookmia.01.33,3320184832,kl,200,91.502,103.978,12.476,197.37,15.808,91.502,1.0398
0.5,100.0,attack_train,bookmia.07.53,3320184832,kl,200,95.455,79.229,-16.227,217.41,15.435,95.455,0.7923
0.5,100.0,attack_train,bookmia.07.05,3320184832,kl,200,93.321,107.565,14.244,205.909,15.149,93.321,1.0757
0.5,100.0,attack_train,bookmia.07.37,3320184832,kl,200,95.634,98.347,2.713,198.423,10.283,96.097,0.9835
0.5,100.0,attack_train,bookmia.01.44,3320184832,kl,200,0.0,0.0,0.0,0.0,0.0,93.106,0.0
0.5,100.0,attack_train,bookmia.01.89,3320184832,kl,200,92.335,66.522,-25.812,226.897,16.246,92.335,0.6652
0.5,100.0,attack_train,bookmia.01.77,3320184832,kl,200,91.328,86.894,-4.434,205.506,9.24,91.328,0.8689
0.5,100.0,attack_train,bookmia.01.00,3320184832,kl,200,92.797,68.12,-24.677,222.581,14.021,92.797,0.6812
0.5,100.0,attack_train,bookmia.01.26,3320184832,kl,200,91.864,95.088,3.224,220.988,12.969,91.864,0.9509
0.5,100.0,attack_train,bookmia.01.60,3320184832,kl,200,93.371,100.331,6.96,202.952,13.338,93.441,1.0033
0.5,100.0,attack_train,bookmia.01.59,3320184832,kl,200,93.42,78.196,-15.224,220.356,16.665,93.42,0.782
0.5,100.0,attack_train,bookmia.01.87,3320184832,kl,200,91.809,87.879,-3.93,213.565,12.873,92.027,0.8788
0.5,100.0,attack_train,bookmia.01.01,3320184832,kl,200,93.894,81.341,-12.553,212.219,15.525,93.894,0.8134
0.5,100.0,attack_train,bookmia.01.79,3320184832,kl,200,92.455,99.612,7.157,217.606,14.057,92.455,0.9961
0.5,100.0,attack_train,bookmia.01.43,3320184832,kl,200,91.387,68.569,-22.818,211.103,12.842,91.387,0.6857
0.5,100.0,attack_train,bookmia.01.49,3320184832,kl,200,90.547,79.408,-11.139,232.014,15.221,90.547,0.7941
0.5,100.0,attack_train,bookmia.01.52,3320184832,kl,200,0.0,0.0,0.0,0.0,0.0,91.045,0.0
0.5,100.0,attack_train,bookmia.07.43,3320184833,kl,200,94.028,97.952,3.924,211.81,12.505,94.028,0.9795
0.5,100.0,attack_train,bookmia.01.90,3320184833,kl,200,95.247,99.554,4.307,234.918,16.391,95.338,0.9955
0.5,100.0,attack_train,bookmia.07.06,3320184833,kl,200,95.931,85.838,-10.094,254.627,15.91,95.931,0.8584
0.5,100.0,attack_train,bookmia.00.31,3320184833,kl,200,94.802,125.681,30.879,211.112,12.708,94.847,1.2568
0.5,100.0,attack_train,bookmia.07.55,3320184833,kl,200,94.163,64.783,-29.38,230.863,12.951,94.162,0.6478
0.5,100.0,attack_train,bookmia.07.16,3320184833,kl,200,93.314,102.111,8.797,211.803,14.682,95.324,1.0211
0.5,100.0,attack_train,bookmia.07.63,3320184833,kl,200,95.585,117.774,22.189,219.421,15.864,95.694,1.1777
0.5,100.0,attack_train,bookmia.00.26,3320184833,kl,200,95.481,92.276,-3.205,222.262,17.355,95.803,0.9228
0.5,100.0,attack_train,bookmia.07.28,3320184833,kl,200,94.075,80.688,-13.387,202.039,14.43,94.075,0.8069
0.5,100.0,attack_train,bookmia.07.30,3320184833,kl,200,92.617,82.93,-9.688,216.794,14.218,94.727,0.8293
0.5,100.0,attack_train,bookmia.07.49,3320184833,kl,200,93.837,102.155,8.318,200.367,12.011,93.838,1.0216
0.5,100.0,attack_train,bookmia.07.56,3320184833,kl,200,95.8,91.61,-4.19,214.708,16.6,95.8,0.9161
0.5,100.0,attack_train,bookmia.07.24,3320184833,kl,200,96.028,99.704,3.676,218.196,13.017,96.028,0.997
0.5,100.0,attack_train,bookmia.01.04,3320184833,kl,200,92.797,86.774,-6.023,193.519,15.871,92.797,0.8677
0.5,100.0,attack_train,bookmia.01.39,3320184833,kl,200,90.736,106.114,15.378,227.496,15.003,91.659,1.0611
0.5,100.0,attack_train,bookmia.07.02,3320184833,kl,200,95.45,129.027,33.577,221.155,14.151,95.45,1.2903
0.5,100.0,attack_train,bookmia.07.73,3320184833,kl,200,86.957,89.57,2.613,188.788,15.238,94.141,0.8957
0.5,100.0,attack_train,bookmia.00.11,3320184833,kl,200,90.412,96.978,6.566,182.617,15.686,90.619,0.9698
0.5,100.0,attack_train,bookmia.01.27,3320184833,kl,200,94.309,118.756,24.446,212.483,17.449,94.309,1.1876
0.5,100.0,attack_train,bookmia.01.58,3320184833,kl,200,92.881,108.091,15.21,246.886,18.214,92.881,1.0809
0.5,100.0,attack_train,bookmia.01.73,3320184833,kl,200,93.124,96.224,3.1,224.788,16.415,93.289,0.9622
0.5,100.0,attack_train,bookmia.01.74,3320184833,kl,200,92.544,90.015,-2.529,227.949,12.906,92.544,0.9001
0.5,100.0,attack_train,bookmia.01.82,3320184833,kl,200,93.316,71.459,-21.857,235.316,18.757,93.316,0.7146
0.5,100.0,attack_train,bookmia.07.40,3320184833,kl,200,94.484,90.706,-3.779,204.505,11.474,94.609,0.9071
0.5,100.0,attack_train,bookmia.07.70,3320184833,kl,200,95.414,82.766,-12.648,221.987,19.853,95.778,0.8277
0.5,100.0,attack_train,bookmia.07.72,3320184833,kl,200,93.213,124.18,30.968,213.06,16.39,93.213,1.2418
0.5,100.0,attack_train,bookmia.00.48,3320184833,kl,200,88.783,109.532,20.748,226.363,13.697,95.653,1.0953
0.5,100.0,attack_train,bookmia.01.23,3320184833,kl,200,92.731,89.192,-3.539,243.327,15.967,92.731,0.8919
0.5,100.0,attack_train,bookmia.01.42,3320184833,kl,200,91.967,59.093,-32.873,216.936,13.819,92.125,0.5909
0.5,100.0,attack_train,bookmia.01.76,3320184833,kl,200,94.816,113.254,18.438,212.522,12.052,94.816,1.1325
0.5,100.0,attack_train,bookmia.07.15,3320184833,kl,200,80.51,90.7,10.189,189.009,17.571,95.228,0.907
0.5,100.0,attack_train,bookmia.07.41,3320184833,kl,200,95.419,100.802,5.383,229.723,15.327,95.419,1.008
0.5,100.0,attack_train,bookmia.01.03,3320184833,kl,200,94.697,96.183,1.486,200.817,10.75,94.697,0.9618
0.5,100.0,attack_train,bookmia.01.10,3320184833,kl,200,93.281,78.239,-15.042,229.61,20.193,93.281,0.7824
0.5,100.0,attack_train,bookmia.01.11,3320184833,kl,200,94.131,107.906,13.775,192.932,18.189,94.666,1.0791
0.5,100.0,attack_train,bookmia.01.37,3320184833,kl,200,91.453,95.533,4.08,233.731,13.387,91.453,0.9553
0.5,100.0,attack_train,bookmia.01.41,3320184833,kl,200,94.409,85.997,-8.413,226.704,12.154,94.409,0.86
0.5,100.0,attack_train,bookmia.07.17,3320184833,kl,200,95.205,95.419,0.214,235.255,16.172,95.369,0.9542
0.5,100.0,attack_train,bookmia.01.75,3320184833,kl,200,89.449,114.617,25.168,201.166,21.422,89.449,1.1462
0.5,100.0,attack_train,bookmia.01.78,3320184833,kl,200,93.736,81.775,-11.962,210.864,13.098,93.753,0.8177
0.5,100.0,attack_train,bookmia.07.07,3320184833,kl,200,56.063,48.925,-7.137,130.535,12.876,94.562,0.4893
0.5,100.0,attack_train,bookmia.07.61,3320184833,kl,200,93.813,114.77,20.957,221.9,11.801,93.812,1.1477
0.5,100.0,attack_train,bookmia.07.80,3320184833,kl,200,94.9,132.67,37.77,224.054,13.382,94.9,1.3267
0.5,100.0,attack_train,bookmia.00.46,3320184833,kl,200,93.384,82.22,-11.165,216.817,14.81,93.384,0.8222
0.5,100.0,attack_train,bookmia.01.31,3320184833,kl,200,94.178,101.892,7.714,231.063,15.914,94.178,1.0189
0.5,100.0,attack_train,bookmia.01.62,3320184833,kl,200,93.419,112.996,19.577,205.323,13.008,93.419,1.13
0.5,100.0,attack_train,bookmia.07.59,3320184833,kl,200,93.698,96.934,3.236,211.002,13.379,93.698,0.9693
0.5,100.0,attack_train,bookmia.00.64,3320184833,kl,200,92.355,81.154,-11.201,210.276,15.98,95.591,0.8115
0.5,100.0,attack_train,bookmia.01.32,3320184833,kl,200,92.247,88.321,-3.926,215.677,16.441,92.247,0.8832
0.5,100.0,attack_train,bookmia.07.77,3320184833,kl,200,94.537,92.391,-2.147,218.606,15.452,94.537,0.9239
0.5,100.0,attack_train,bookmia.01.12,3320184833,kl,200,93.479,111.374,17.895,221.262,13.449,93.479,1.1137
0.5,100.0,attack_train,bookmia.07.09,3320184833,kl,200,95.403,92.951,-2.453,200.103,14.503,95.403,0.9295
0.5,100.0,attack_train,bookmia.07.26,3320184833,kl,200,94.438,94.939,0.501,227.017,17.062,94.438,0.9494
0.5,100.0,attack_train,bookmia.07.29,3320184833,kl,200,94.205,94.772,0.567,210.311,13.643,94.205,0.9477
0.5,100.0,attack_train,bookmia.07.32,3320184833,kl,200,92.707,56.026,-36.681,239.359,20.245,94.419,0.5603
0.5,100.0,attack_train,bookmia.01.46,3320184833,kl,200,93.2,101.875,8.675,221.482,17.974,93.2,1.0188
0.5,100.0,attack_train,bookmia.01.81,3320184833,kl,200,93.428,80.341,-13.087,231.067,16.095,93.428,0.8034
0.5,100.0,attack_train,bookmia.01.88,3320184833,kl,200,95.347,108.779,13.432,215.004,15.776,95.347,1.0878
0.5,100.0,attack_train,bookmia.07.54,3320184833,kl,200,93.551,89.455,-4.097,212.546,15.729,94.519,0.8945
0.5,100.0,attack_train,bookmia.07.66,3320184833,kl,200,89.124,82.531,-6.593,198.206,14.471,93.488,0.8253
0.5,100.0,attack_train,bookmia.01.69,3320184833,kl,200,93.873,85.419,-8.454,208.606,14.085,93.873,0.8542
0.5,100.0,attack_train,bookmia.07.04,3320184833,kl,200,93.959,118.886,24.927,205.293,17.451,94.847,1.1889
0.5,100.0,attack_train,bookmia.07.31,3320184833,kl,200,94.404,94.479,0.075,232.1,18.608,94.491,0.9448
0.5,100.0,attack_train,bookmia.07.47,3320184833,kl,200,93.255,85.602,-7.652,225.886,13.619,93.255,0.856
0.5,100.0,attack_train,bookmia.01.07,3320184833,kl,200,93.341,99.795,6.454,215.102,11.767,93.341,0.9979
0.5,100.0,attack_train,bookmia.01.20,3320184833,kl,200,92.238,94.806,2.569,208.062,11.572,92.238,0.9481
0.5,100.0,attack_train,bookmia.01.36,3320184833,kl,200,91.225,88.206,-3.02,222.089,15.414,92.844,0.8821
0.5,100.0,attack_train,bookmia.07.03,3320184833,kl,200,94.445,133.481,39.037,194.575,11.969,94.787,1.3348
0.5,100.0,attack_train,bookmia.07.57,3320184833,kl,200,93.723,96.366,2.643,198.07,13.039,94.044,0.9637
0.5,100.0,attack_train,bookmia.00.40,3320184833,kl,200,93.684,92.495,-1.188,213.78,12.924,95.114,0.925
0.5,100.0,attack_train,bookmia.01.14,3320184833,kl,200,36.119,28.657,-7.461,90.082,15.878,94.119,0.2866
0.5,100.0,attack_train,bookmia.01.83,3320184833,kl,200,92.267,84.782,-7.486,231.527,21.76,92.267,0.8478
0.5,100.0,attack_train,bookmia.07.08,3320184833,kl,200,94.553,117.959,23.406,203.947,10.071,94.553,1.1796
0.5,100.0,attack_train,bookmia.07.44,3320184833,kl,200,95.17,88.234,-6.937,220.01,14.014,95.188,0.8823
0.5,100.0,attack_train,bookmia.07.62,3320184833,kl,200,92.789,73.357,-19.432,220.187,14.096,92.789,0.7336
0.5,100.0,attack_train,bookmia.01.51,3320184833,kl,200,93.31,76.546,-16.764,227.258,15.679,93.931,0.7655
0.5,100.0,attack_train,bookmia.01.97,3320184833,kl,200,93.975,106.927,12.952,203.643,12.47,93.975,1.0693
0.5,100.0,attack_train,bookmia.00.71,3320184833,kl,200,91.23,81.646,-9.584,220.223,21.226,91.23,0.8165
0.5,100.0,attack_train,bookmia.01.02,3320184833,kl,200,93.544,71.421,-22.123,197.295,13.851,93.544,0.7142
0.5,100.0,attack_train,bookmia.01.71,3320184833,kl,200,93.005,106.718,13.714,204.377,11.895,93.005,1.0672
0.5,100.0,attack_train,bookmia.07.20,3320184833,kl,200,94.019,81.327,-12.692,208.928,13.637,94.019,0.8133
0.5,100.0,attack_train,bookmia.07.25,3320184833,kl,200,94.253,66.841,-27.412,225.218,15.053,94.85,0.6684
0.5,100.0,attack_train,bookmia.01.22,3320184833,kl,200,94.091,62.415,-31.676,244.602,19.836,94.091,0.6242
0.5,100.0,attack_train,bookmia.01.33,3320184833,kl,200,91.502,94.315,2.813,228.948,20.108,91.502,0.9432
0.5,100.0,attack_train,bookmia.07.53,3320184833,kl,200,95.455,81.667,-13.788,218.341,14.306,95.455,0.8167
0.5,100.0,attack_train,bookmia.07.05,3320184833,kl,200,93.321,98.25,4.929,231.67,18.156,93.321,0.9825
0.5,100.0,attack_train,bookmia.07.37,3320184833,kl,200,96.097,90.591,-5.506,239.445,16.412,96.097,0.9059
0.5,100.0,attack_train,bookmia.01.44,3320184833,kl,200,93.106,89.564,-3.542,215.882,19.157,93.106,0.8956
0.5,100.0,attack_train,bookmia.01.89,3320184833,kl,200,92.335,83.127,-9.208,219.562,13.53,92.335,0.8313
0.5,100.0,attack_train,bookmia.01.77,3320184833,kl,200,91.328,80.395,-10.934,208.194,10.99,91.328,0.8039
